customer_id,num_products,service_bundle,has_credit_card
15569187,2,Dual service,0
15569209,1,Core service,1
15569222,1,Core service,1
15569247,1,Core service,0
15569248,2,Dual service,1
15569249,3,Premium bundle,0
15569264,1,Core service,1
15569266,1,Core service,1
15569274,1,Core service,1
15569364,2,Dual service,1
15569394,2,Dual service,1
15569410,2,Dual service,1
15569423,2,Dual service,1
15569430,2,Dual service,1
15569432,2,Dual service,1
15569438,2,Dual service,0
15569446,2,Dual service,1
15569451,1,Core service,1
15569452,2,Dual service,0
15569503,2,Dual service,1
15569526,2,Dual service,0
15569571,2,Dual service,1
15569572,2,Dual service,1
15569590,1,Core service,1
15569595,1,Starter service,1
15569624,2,Dual service,1
15569626,1,Core service,1
15569641,1,Core service,1
15569654,1,Core service,0
15569666,1,Starter service,0
15569670,1,Core service,1
15569678,1,Core service,1
15569682,1,Core service,1
15569759,3,Premium bundle,1
15569764,1,Core service,1
15569807,1,Core service,1
15569867,2,Dual service,1
15569878,1,Core service,1
15569892,1,Core service,1
15569917,2,Dual service,0
15569945,2,Dual service,1
15569976,1,Core service,1
15570002,4,Premium bundle,0
15570004,2,Dual service,1
15570051,2,Dual service,0
15570060,1,Core service,1
15570073,1,Starter service,1
15570086,1,Core service,0
15570087,1,Core service,1
15570134,2,Dual service,1
15570141,1,Core service,1
15570145,2,Dual service,1
15570192,1,Core service,0
15570194,2,Dual service,0
15570205,2,Dual service,1
15570271,1,Starter service,1
15570289,1,Core service,1
15570299,1,Core service,1
15570326,2,Dual service,1
15570360,2,Dual service,0
15570379,1,Core service,0
15570414,1,Core service,0
15570417,2,Dual service,1
15570485,1,Core service,0
15570508,1,Core service,1
15570533,1,Core service,0
15570601,1,Core service,1
15570629,2,Dual service,1
15570681,1,Core service,1
15570769,1,Core service,1
15570835,1,Core service,1
15570855,2,Dual service,1
15570857,2,Dual service,1
15570859,2,Dual service,1
15570895,1,Core service,1
15570908,1,Core service,0
15570912,2,Dual service,1
15570931,1,Starter service,0
15570932,2,Dual service,1
15570943,1,Core service,1
15570947,2,Dual service,1
15570970,2,Dual service,1
15570990,2,Dual service,0
15571002,1,Core service,0
15571059,1,Starter service,1
15571065,2,Dual service,1
15571081,1,Core service,1
15571121,1,Core service,0
15571144,2,Dual service,0
15571148,2,Dual service,0
15571193,1,Core service,1
15571221,1,Core service,1
15571244,2,Dual service,0
15571261,2,Dual service,1
15571281,1,Core service,1
15571284,2,Dual service,1
15571302,1,Core service,1
15571305,1,Core service,1
15571415,1,Core service,1
15571476,1,Core service,0
15571529,1,Core service,1
15571550,1,Starter service,1
15571571,3,Premium bundle,1
15571586,1,Core service,1
15571666,1,Core service,0
15571689,2,Dual service,1
15571752,1,Core service,1
15571756,1,Starter service,1
15571778,1,Core service,1
15571816,1,Starter service,1
15571843,1,Starter service,1
15571869,1,Core service,0
15571873,1,Core service,1
15571917,2,Dual service,1
15571928,3,Premium bundle,1
15571940,1,Core service,1
15571958,1,Core service,1
15571973,1,Core service,1
15571995,2,Dual service,1
15572021,2,Dual service,1
15572022,1,Starter service,0
15572038,1,Core service,1
15572050,1,Core service,1
15572051,1,Starter service,1
15572073,2,Dual service,1
15572093,1,Core service,1
15572114,1,Core service,1
15572145,2,Dual service,1
15572158,1,Starter service,0
15572174,2,Dual service,0
15572182,3,Premium bundle,1
15572265,2,Dual service,1
15572291,1,Core service,0
15572294,1,Starter service,0
15572356,1,Core service,0
15572360,1,Core service,0
15572361,1,Core service,1
15572374,2,Dual service,0
15572390,2,Dual service,1
15572398,2,Dual service,1
15572408,2,Dual service,1
15572415,2,Dual service,1
15572428,1,Core service,1
15572461,2,Dual service,0
15572467,2,Dual service,1
15572547,1,Core service,1
15572626,2,Dual service,1
15572631,1,Starter service,0
15572657,1,Core service,0
15572706,1,Starter service,1
15572728,1,Core service,1
15572735,2,Dual service,1
15572762,2,Dual service,1
15572767,2,Dual service,1
15572777,1,Core service,1
15572792,1,Core service,1
15572801,2,Dual service,0
15572956,1,Core service,1
15573045,2,Dual service,1
15573077,1,Core service,1
15573086,1,Core service,1
15573112,1,Core service,1
15573152,2,Dual service,0
15573171,1,Core service,1
15573242,1,Core service,1
15573278,2,Dual service,1
15573280,2,Dual service,1
15573284,2,Dual service,0
15573309,2,Dual service,1
15573318,2,Dual service,1
15573319,1,Core service,0
15573348,1,Core service,1
15573452,1,Core service,1
15573456,2,Dual service,1
15573520,2,Dual service,0
15573599,2,Dual service,0
15573628,1,Core service,1
15573730,2,Dual service,1
15573741,1,Core service,1
15573769,2,Dual service,1
15573798,2,Dual service,1
15573851,3,Premium bundle,0
15573854,2,Dual service,0
15573876,2,Dual service,1
15573888,1,Core service,0
15573893,2,Dual service,1
15573926,2,Dual service,0
15573971,2,Dual service,0
15574004,2,Dual service,1
15574012,2,Dual service,1
15574068,1,Core service,0
15574071,2,Dual service,0
15574072,1,Starter service,1
15574115,2,Dual service,1
15574119,1,Core service,1
15574122,1,Core service,0
15574137,2,Dual service,1
15574142,2,Dual service,1
15574167,1,Core service,1
15574169,1,Core service,1
15574206,2,Dual service,1
15574213,1,Core service,1
15574237,2,Dual service,1
15574283,2,Dual service,0
15574296,2,Dual service,1
15574305,1,Core service,1
15574324,2,Dual service,0
15574331,1,Core service,0
15574352,1,Core service,1
15574369,1,Core service,1
15574372,2,Dual service,1
15574480,1,Core service,0
15574523,2,Dual service,1
15574554,2,Dual service,1
15574558,2,Dual service,1
15574584,1,Core service,1
15574608,1,Core service,1
15574692,2,Dual service,1
15574743,1,Starter service,1
15574761,2,Dual service,1
15574783,2,Dual service,1
15574795,1,Core service,1
15574830,2,Dual service,1
15574842,3,Premium bundle,1
15574858,2,Dual service,1
15574868,2,Dual service,0
15574879,2,Dual service,0
15574886,1,Core service,1
15574910,1,Core service,1
15574947,2,Dual service,0
15575002,1,Core service,1
15575024,2,Dual service,1
15575060,2,Dual service,1
15575119,2,Dual service,1
15575146,2,Dual service,1
15575147,1,Core service,1
15575185,1,Core service,0
15575214,1,Starter service,1
15575243,2,Dual service,1
15575247,2,Dual service,1
15575391,2,Dual service,1
15575399,2,Dual service,1
15575409,1,Core service,1
15575410,2,Dual service,1
15575417,2,Dual service,1
15575428,2,Dual service,1
15575430,1,Core service,1
15575438,1,Core service,1
15575445,1,Core service,0
15575486,2,Dual service,1
15575492,2,Dual service,1
15575498,2,Dual service,1
15575510,1,Core service,0
15575581,2,Dual service,1
15575605,2,Dual service,1
15575619,1,Core service,1
15575623,1,Core service,1
15575676,2,Dual service,0
15575679,1,Core service,1
15575691,2,Dual service,0
15575694,2,Dual service,1
15575748,2,Dual service,0
15575759,1,Core service,1
15575858,2,Dual service,1
15575883,2,Dual service,1
15575935,2,Dual service,0
15575955,2,Dual service,1
15576000,1,Core service,1
15576022,2,Dual service,0
15576044,1,Core service,1
15576065,1,Core service,1
15576077,1,Core service,0
15576085,2,Dual service,0
15576094,2,Dual service,0
15576111,1,Core service,1
15576124,1,Core service,1
15576126,1,Core service,1
15576131,2,Dual service,1
15576156,1,Starter service,1
15576162,1,Core service,1
15576185,2,Dual service,1
15576196,2,Dual service,0
15576216,1,Core service,1
15576219,2,Dual service,1
15576256,2,Dual service,1
15576263,1,Starter service,1
15576269,2,Dual service,1
15576304,1,Core service,1
15576313,1,Core service,1
15576352,2,Dual service,0
15576360,1,Core service,1
15576368,2,Dual service,0
15576517,2,Dual service,1
15576526,2,Dual service,0
15576550,1,Starter service,1
15576602,2,Dual service,1
15576615,1,Core service,1
15576623,2,Dual service,1
15576641,2,Dual service,1
15576644,1,Core service,1
15576676,2,Dual service,1
15576680,2,Dual service,0
15576683,1,Starter service,1
15576706,1,Core service,0
15576714,2,Dual service,1
15576723,2,Dual service,1
15576745,2,Dual service,0
15576760,2,Dual service,0
15576774,2,Dual service,0
15576824,3,Premium bundle,1
15576928,1,Starter service,1
15576935,2,Dual service,0
15576945,1,Starter service,1
15576990,1,Core service,1
15577018,1,Core service,0
15577064,2,Dual service,1
15577078,1,Starter service,1
15577107,3,Premium bundle,0
15577170,2,Dual service,0
15577178,1,Core service,1
15577274,1,Core service,1
15577313,1,Core service,1
15577359,1,Starter service,1
15577398,1,Core service,1
15577402,2,Dual service,0
15577423,1,Core service,1
15577478,1,Starter service,1
15577514,1,Core service,1
15577515,1,Core service,0
15577587,1,Core service,1
15577598,2,Dual service,1
15577657,2,Dual service,1
15577683,2,Dual service,1
15577695,1,Core service,1
15577700,2,Dual service,1
15577751,1,Core service,0
15577771,1,Core service,1
15577806,1,Core service,1
15577831,1,Core service,0
15577905,2,Dual service,0
15577913,1,Core service,1
15577970,1,Starter service,0
15577985,2,Dual service,1
15577988,2,Dual service,1
15577999,1,Core service,1
15578006,2,Dual service,1
15578045,1,Core service,0
15578073,2,Dual service,0
15578096,1,Core service,0
15578098,2,Dual service,1
15578141,1,Starter service,1
15578156,1,Core service,1
15578186,2,Dual service,1
15578211,2,Dual service,1
15578238,2,Dual service,1
15578251,2,Dual service,1
15578297,1,Core service,1
15578307,2,Dual service,1
15578369,1,Core service,1
15578374,1,Core service,1
15578375,2,Dual service,0
15578435,1,Core service,1
15578462,1,Core service,1
15578515,2,Dual service,1
15578546,1,Core service,1
15578603,1,Core service,0
15578648,1,Core service,1
15578671,1,Core service,1
15578722,2,Dual service,1
15578738,1,Core service,1
15578747,1,Core service,0
15578761,2,Dual service,1
15578783,1,Core service,1
15578787,1,Starter service,1
15578788,2,Dual service,0
15578799,1,Core service,1
15578809,2,Dual service,0
15578825,1,Core service,1
15578835,1,Core service,0
15578865,1,Core service,1
15578866,1,Starter service,1
15578878,1,Core service,1
15578908,2,Dual service,1
15578977,2,Dual service,1
15578980,2,Dual service,1
15579040,2,Dual service,0
15579062,2,Dual service,0
15579074,1,Core service,1
15579109,1,Core service,1
15579112,2,Dual service,1
15579130,1,Core service,1
15579131,2,Dual service,1
15579166,1,Core service,1
15579183,2,Dual service,1
15579189,2,Dual service,0
15579207,1,Core service,1
15579208,2,Dual service,1
15579212,1,Starter service,1
15579223,1,Core service,1
15579262,1,Starter service,0
15579287,2,Dual service,0
15579334,1,Core service,1
15579345,1,Core service,1
15579387,2,Dual service,0
15579433,2,Dual service,0
15579526,1,Core service,1
15579548,2,Dual service,1
15579559,1,Core service,1
15579566,1,Core service,1
15579583,1,Core service,1
15579616,2,Dual service,0
15579617,2,Dual service,0
15579647,1,Starter service,1
15579706,1,Starter service,1
15579714,2,Dual service,0
15579777,2,Dual service,1
15579781,1,Core service,1
15579787,2,Dual service,1
15579808,1,Core service,1
15579820,1,Core service,1
15579826,1,Starter service,1
15579891,1,Core service,1
15579892,1,Core service,1
15579914,2,Dual service,1
15579915,2,Dual service,1
15579969,2,Dual service,1
15579994,1,Core service,1
15579996,1,Core service,0
15580043,1,Core service,1
15580068,2,Dual service,1
15580134,1,Core service,1
15580146,1,Core service,1
15580148,3,Premium bundle,1
15580149,2,Dual service,1
15580203,1,Core service,0
15580213,2,Dual service,1
15580227,2,Dual service,1
15580249,1,Starter service,0
15580252,1,Core service,0
15580366,2,Dual service,1
15580462,1,Core service,1
15580487,2,Dual service,0
15580493,1,Core service,1
15580560,1,Starter service,1
15580579,1,Starter service,1
15580623,2,Dual service,0
15580629,1,Core service,1
15580682,2,Dual service,1
15580684,1,Core service,1
15580701,1,Core service,1
15580719,2,Dual service,1
15580805,2,Dual service,1
15580845,1,Core service,0
15580872,2,Dual service,1
15580912,2,Dual service,1
15580914,2,Dual service,0
15580935,2,Dual service,1
15580953,1,Core service,0
15580956,1,Core service,1
15580988,2,Dual service,1
15581036,2,Dual service,1
15581089,2,Dual service,1
15581102,2,Dual service,0
15581115,1,Core service,0
15581197,1,Core service,0
15581198,1,Core service,1
15581229,1,Core service,0
15581237,1,Core service,1
15581252,1,Core service,1
15581280,1,Core service,1
15581282,1,Starter service,1
15581286,1,Core service,1
15581295,1,Starter service,1
15581323,2,Dual service,1
15581332,2,Dual service,1
15581370,2,Dual service,1
15581388,1,Core service,1
15581440,2,Dual service,1
15581479,1,Core service,1
15581505,2,Dual service,1
15581525,2,Dual service,1
15581526,2,Dual service,0
15581539,2,Dual service,0
15581548,1,Core service,1
15581551,1,Core service,1
15581620,3,Premium bundle,1
15581626,1,Starter service,1
15581654,2,Dual service,0
15581700,1,Core service,1
15581733,2,Dual service,1
15581736,2,Dual service,0
15581748,2,Dual service,1
15581811,2,Dual service,0
15581840,2,Dual service,1
15581871,2,Dual service,1
15581893,1,Core service,0
15581968,2,Dual service,1
15582016,2,Dual service,1
15582033,1,Core service,1
15582066,1,Starter service,1
15582090,1,Starter service,1
15582116,2,Dual service,1
15582129,3,Premium bundle,1
15582149,2,Dual service,1
15582154,1,Core service,1
15582168,2,Dual service,1
15582180,1,Core service,1
15582246,2,Dual service,0
15582259,2,Dual service,1
15582276,1,Core service,0
15582325,1,Core service,1
15582335,1,Core service,0
15582404,2,Dual service,1
15582492,1,Core service,1
15582519,1,Core service,0
15582591,1,Core service,1
15582616,2,Dual service,1
15582714,1,Core service,0
15582741,1,Core service,1
15582762,1,Starter service,1
15582797,1,Core service,1
15582841,2,Dual service,0
15582847,2,Dual service,0
15582849,1,Starter service,1
15582892,1,Core service,1
15582903,2,Dual service,1
15582910,1,Core service,1
15582944,2,Dual service,1
15582951,1,Core service,1
15582960,1,Core service,0
15583026,1,Core service,1
15583033,2,Dual service,0
15583049,1,Core service,0
15583067,1,Core service,0
15583073,1,Starter service,1
15583076,2,Dual service,1
15583090,2,Dual service,1
15583137,2,Dual service,1
15583138,2,Dual service,1
15583212,1,Core service,1
15583221,2,Dual service,1
15583278,1,Core service,1
15583303,1,Core service,1
15583353,1,Starter service,1
15583364,1,Core service,0
15583371,1,Core service,1
15583392,3,Premium bundle,1
15583394,2,Dual service,1
15583456,3,Premium bundle,1
15583462,2,Dual service,1
15583480,2,Dual service,0
15583499,1,Core service,1
15583548,1,Core service,1
15583552,1,Core service,1
15583576,1,Starter service,0
15583580,1,Core service,1
15583595,1,Starter service,1
15583597,1,Core service,1
15583668,1,Core service,0
15583680,1,Starter service,0
15583681,2,Dual service,1
15583692,2,Dual service,1
15583718,1,Core service,1
15583724,2,Dual service,1
15583725,1,Core service,0
15583736,2,Dual service,1
15583748,2,Dual service,1
15583755,1,Core service,1
15583764,1,Core service,0
15583840,1,Core service,1
15583849,2,Dual service,0
15583850,2,Dual service,1
15583857,2,Dual service,0
15583863,1,Core service,0
15584037,1,Core service,1
15584090,2,Dual service,0
15584091,2,Dual service,0
15584113,1,Core service,0
15584114,2,Dual service,1
15584156,3,Premium bundle,0
15584190,2,Dual service,0
15584229,1,Core service,1
15584271,1,Starter service,1
15584288,2,Dual service,1
15584320,1,Core service,0
15584338,2,Dual service,1
15584363,1,Core service,1
15584364,1,Core service,1
15584452,2,Dual service,0
15584453,2,Dual service,0
15584462,1,Starter service,1
15584477,1,Core service,1
15584505,2,Dual service,0
15584518,2,Dual service,1
15584532,1,Starter service,0
15584536,1,Core service,1
15584545,2,Dual service,0
15584580,1,Core service,0
15584620,1,Core service,1
15584704,1,Core service,1
15584749,1,Core service,1
15584766,1,Core service,1
15584776,1,Core service,1
15584785,1,Core service,1
15584812,2,Dual service,0
15584897,1,Core service,0
15584899,2,Dual service,0
15584928,2,Dual service,1
15584930,2,Dual service,1
15584967,2,Dual service,1
15585036,2,Dual service,1
15585041,2,Dual service,0
15585047,1,Core service,0
15585066,1,Starter service,0
15585067,1,Core service,1
15585100,1,Core service,1
15585106,2,Dual service,1
15585133,2,Dual service,0
15585192,1,Core service,0
15585198,1,Core service,0
15585215,2,Dual service,0
15585222,2,Dual service,1
15585241,2,Dual service,1
15585249,1,Core service,1
15585255,1,Starter service,1
15585256,2,Dual service,1
15585280,2,Dual service,0
15585282,2,Dual service,0
15585284,1,Core service,1
15585287,1,Core service,1
15585362,1,Starter service,1
15585367,1,Core service,1
15585379,1,Core service,1
15585388,2,Dual service,1
15585427,2,Dual service,0
15585451,1,Core service,1
15585455,2,Dual service,0
15585466,2,Dual service,1
15585490,1,Starter service,0
15585533,1,Core service,0
15585580,1,Core service,1
15585595,2,Dual service,0
15585599,2,Dual service,0
15585734,2,Dual service,1
15585748,2,Dual service,1
15585768,2,Dual service,0
15585777,1,Core service,1
15585823,1,Core service,1
15585835,2,Dual service,1
15585839,2,Dual service,1
15585853,1,Starter service,1
15585855,1,Starter service,1
15585865,2,Dual service,0
15585867,2,Dual service,0
15585888,1,Starter service,0
15585892,1,Starter service,0
15585901,3,Premium bundle,0
15585907,2,Dual service,0
15585928,1,Core service,1
15585961,2,Dual service,0
15585985,1,Core service,1
15586029,2,Dual service,1
15586039,2,Dual service,1
15586069,1,Core service,1
15586133,1,Core service,0
15586135,1,Starter service,1
15586174,1,Core service,1
15586183,2,Dual service,1
15586236,3,Premium bundle,1
15586243,1,Core service,1
15586264,1,Core service,1
15586300,2,Dual service,1
15586310,1,Core service,1
15586425,2,Dual service,1
15586479,1,Starter service,1
15586504,2,Dual service,1
15586517,1,Core service,1
15586522,1,Core service,1
15586523,1,Core service,1
15586557,1,Starter service,0
15586585,1,Core service,1
15586629,2,Dual service,1
15586674,1,Core service,0
15586680,1,Core service,1
15586699,2,Dual service,0
15586752,1,Core service,1
15586757,1,Core service,1
15586821,2,Dual service,0
15586848,2,Dual service,1
15586870,1,Core service,1
15586880,2,Dual service,1
15586914,2,Dual service,1
15586931,1,Starter service,1
15586959,2,Dual service,1
15586970,1,Core service,1
15586974,2,Dual service,1
15586976,1,Starter service,1
15586993,2,Dual service,1
15586996,2,Dual service,0
15587013,1,Core service,1
15587038,1,Starter service,1
15587066,1,Core service,0
15587133,2,Dual service,1
15587174,2,Dual service,1
15587177,1,Core service,1
15587210,1,Core service,1
15587233,3,Premium bundle,1
15587240,2,Dual service,0
15587266,1,Core service,0
15587297,2,Dual service,1
15587299,1,Starter service,1
15587311,2,Dual service,0
15587394,2,Dual service,0
15587419,2,Dual service,0
15587421,2,Dual service,1
15587443,2,Dual service,1
15587451,1,Core service,1
15587507,1,Starter service,1
15587535,1,Core service,1
15587562,1,Core service,1
15587573,2,Dual service,0
15587581,2,Dual service,1
15587584,2,Dual service,1
15587596,1,Core service,1
15587611,2,Dual service,0
15587640,1,Core service,1
15587647,1,Core service,0
15587676,1,Starter service,1
15587690,1,Core service,1
15587712,1,Core service,1
15587735,1,Core service,1
15587835,1,Core service,0
15587913,2,Dual service,1
15587978,1,Core service,0
15588019,1,Core service,1
15588080,1,Starter service,1
15588090,2,Dual service,1
15588123,2,Dual service,0
15588186,1,Core service,1
15588197,2,Dual service,0
15588219,2,Dual service,1
15588235,1,Core service,1
15588248,2,Dual service,1
15588341,1,Core service,0
15588350,1,Core service,0
15588372,1,Core service,0
15588406,2,Dual service,1
15588419,1,Core service,1
15588446,2,Dual service,0
15588449,1,Core service,0
15588450,1,Core service,1
15588456,1,Core service,1
15588461,1,Starter service,1
15588517,2,Dual service,1
15588535,2,Dual service,0
15588537,1,Core service,1
15588560,1,Core service,1
15588566,2,Dual service,1
15588580,1,Core service,1
15588587,1,Core service,1
15588614,1,Starter service,1
15588622,1,Core service,1
15588670,1,Core service,1
15588695,1,Starter service,1
15588701,2,Dual service,1
15588839,2,Dual service,1
15588854,1,Core service,1
15588859,2,Dual service,1
15588904,1,Starter service,1
15588918,2,Dual service,1
15588923,1,Core service,1
15588928,2,Dual service,1
15588933,1,Core service,1
15588944,2,Dual service,0
15588955,3,Premium bundle,1
15588986,1,Core service,1
15589017,3,Premium bundle,1
15589018,2,Dual service,1
15589019,1,Core service,1
15589030,2,Dual service,1
15589076,1,Starter service,0
15589147,1,Core service,1
15589195,1,Core service,0
15589200,2,Dual service,1
15589204,1,Core service,1
15589210,1,Starter service,0
15589221,2,Dual service,1
15589224,2,Dual service,0
15589230,1,Core service,0
15589257,2,Dual service,1
15589296,1,Core service,1
15589312,1,Core service,0
15589320,1,Starter service,1
15589323,2,Dual service,0
15589329,2,Dual service,1
15589348,1,Core service,1
15589358,2,Dual service,1
15589361,1,Starter service,1
15589380,2,Dual service,1
15589401,2,Dual service,1
15589420,1,Core service,1
15589428,2,Dual service,1
15589431,1,Core service,1
15589435,2,Dual service,1
15589437,1,Core service,1
15589449,3,Premium bundle,1
15589475,3,Premium bundle,1
15589488,1,Core service,1
15589493,2,Dual service,1
15589496,2,Dual service,0
15589541,2,Dual service,0
15589544,2,Dual service,1
15589563,2,Dual service,0
15589572,2,Dual service,1
15589589,1,Core service,1
15589643,1,Starter service,1
15589660,1,Core service,0
15589666,1,Core service,1
15589698,1,Core service,1
15589715,1,Starter service,1
15589725,2,Dual service,1
15589739,1,Core service,1
15589754,1,Core service,0
15589793,1,Core service,1
15589805,1,Core service,1
15589869,2,Dual service,0
15589881,2,Dual service,1
15589924,2,Dual service,1
15589948,2,Dual service,1
15589949,1,Core service,1
15589969,1,Starter service,0
15589975,1,Core service,0
15590011,1,Core service,1
15590078,1,Core service,1
15590094,2,Dual service,0
15590097,1,Core service,1
15590146,1,Core service,0
15590177,1,Core service,0
15590199,1,Core service,0
15590201,4,Premium bundle,1
15590213,1,Core service,1
15590228,1,Core service,1
15590234,1,Starter service,1
15590241,1,Core service,0
15590268,1,Core service,1
15590286,1,Core service,1
15590320,2,Dual service,0
15590327,1,Core service,1
15590337,1,Core service,1
15590344,2,Dual service,1
15590349,1,Starter service,0
15590434,1,Core service,0
15590476,2,Dual service,1
15590606,2,Dual service,1
15590623,2,Dual service,1
15590637,2,Dual service,0
15590676,1,Core service,1
15590683,1,Core service,0
15590730,2,Dual service,1
15590810,1,Core service,1
15590820,1,Core service,0
15590828,1,Core service,1
15590876,1,Core service,0
15590888,2,Dual service,0
15590966,2,Dual service,0
15590993,2,Dual service,0
15591010,2,Dual service,1
15591035,1,Starter service,0
15591036,1,Core service,0
15591047,2,Dual service,0
15591091,1,Core service,1
15591100,1,Core service,0
15591107,1,Core service,0
15591123,1,Core service,1
15591130,2,Dual service,0
15591135,2,Dual service,1
15591150,2,Dual service,0
15591169,1,Core service,1
15591179,2,Dual service,1
15591248,1,Core service,1
15591257,2,Dual service,1
15591279,1,Core service,0
15591286,1,Core service,1
15591344,2,Dual service,1
15591357,1,Core service,1
15591360,2,Dual service,0
15591386,2,Dual service,1
15591428,2,Dual service,0
15591433,2,Dual service,1
15591489,1,Core service,0
15591509,2,Dual service,1
15591512,1,Core service,0
15591550,1,Core service,1
15591552,1,Core service,1
15591577,1,Core service,1
15591607,1,Core service,1
15591628,1,Core service,1
15591698,1,Core service,1
15591711,1,Core service,1
15591724,1,Core service,1
15591740,2,Dual service,1
15591747,2,Dual service,0
15591766,1,Core service,0
15591822,1,Core service,1
15591915,1,Starter service,0
15591932,1,Core service,1
15591942,2,Dual service,1
15591969,1,Core service,1
15591980,2,Dual service,1
15591985,1,Core service,1
15591986,1,Core service,0
15591995,2,Dual service,1
15592000,1,Core service,1
15592025,2,Dual service,1
15592028,1,Starter service,1
15592078,2,Dual service,1
15592089,2,Dual service,1
15592091,2,Dual service,1
15592104,1,Starter service,0
15592116,2,Dual service,1
15592123,2,Dual service,1
15592194,2,Dual service,1
15592197,2,Dual service,1
15592222,1,Core service,0
15592229,1,Core service,1
15592230,2,Dual service,1
15592300,1,Core service,1
15592326,2,Dual service,0
15592379,2,Dual service,1
15592386,2,Dual service,0
15592387,1,Starter service,1
15592389,1,Core service,1
15592412,1,Core service,1
15592451,2,Dual service,1
15592461,1,Core service,1
15592531,2,Dual service,1
15592570,2,Dual service,1
15592578,2,Dual service,0
15592583,3,Premium bundle,0
15592645,2,Dual service,0
15592707,2,Dual service,1
15592716,1,Starter service,1
15592736,1,Core service,1
15592751,1,Core service,1
15592761,2,Dual service,0
15592765,1,Core service,1
15592773,3,Premium bundle,0
15592816,1,Core service,1
15592846,2,Dual service,1
15592854,1,Core service,0
15592877,1,Core service,1
15592914,2,Dual service,1
15592925,3,Premium bundle,0
15592937,1,Core service,1
15592979,2,Dual service,0
15592994,2,Dual service,1
15592999,1,Core service,1
15593014,1,Core service,0
15593094,1,Starter service,1
15593128,2,Dual service,1
15593178,1,Core service,1
15593241,2,Dual service,1
15593250,2,Dual service,1
15593280,1,Core service,1
15593283,2,Dual service,1
15593295,1,Core service,1
15593331,1,Core service,0
15593345,2,Dual service,1
15593365,1,Core service,1
15593425,1,Core service,0
15593454,1,Core service,1
15593468,2,Dual service,1
15593470,1,Core service,1
15593496,1,Core service,0
15593499,1,Starter service,1
15593501,2,Dual service,1
15593510,1,Core service,1
15593555,2,Dual service,1
15593601,1,Core service,1
15593622,2,Dual service,0
15593636,1,Core service,1
15593683,2,Dual service,1
