customer_id,gender,age,credit_score,estimated_salary,risk_band
15567335,Female,42,559,190040.29,Very High
15567339,Male,73,735,114283.33,Medium
15567367,Female,42,601,103315.74,High
15567383,Female,44,678,31384.86,Medium
15567399,Male,43,633,158646.46,High
15567422,Male,42,630,162697.93,High
15567431,Male,64,773,186172.85,Low
15567437,Female,30,734,76503.06,Medium
15567442,Female,75,656,1276.87,High
15567446,Male,39,646,30838.51,High
15567486,Female,41,634,164549.74,High
15567506,Female,40,738,194895.57,Medium
15567557,Male,27,573,11631.34,Very High
15567630,Male,40,721,138564.48,Medium
15567725,Female,46,689,72993.65,Medium
15567778,Female,54,690,108731.02,Medium
15567802,Female,34,450,175480.93,Very High
15567832,Female,40,550,54018.93,Very High
15567834,Male,49,719,16246.59,Medium
15567839,Male,42,501,91429.74,Very High
15567855,Female,29,623,39382.06,High
15567860,Female,44,581,45026.23,High
15567893,Male,33,556,62627.55,Very High
15567897,Male,23,619,143913.33,High
15567919,Male,37,586,104665.79,High
15567923,Female,30,739,122604.44,Medium
15567980,Female,46,537,140857.76,Very High
15567991,Male,31,794,175643.44,Low
15567993,Male,28,828,79355.87,Very Low
15568006,Female,45,634,101039.53,High
15568025,Male,51,758,116520.07,Low
15568032,Male,31,757,163170.32,Low
15568044,Female,31,508,6123.15,Very High
15568046,Male,24,809,183515.13,Very Low
15568088,Male,44,481,96123.72,Very High
15568104,Female,26,749,34948.77,Low
15568106,Female,38,592,19370.73,High
15568120,Female,37,681,72127.83,Medium
15568162,Male,53,527,51711.57,Very High
15568164,Female,34,850,154000.99,Very Low
15568238,Male,20,650,113469.65,High
15568240,Female,30,492,146700.22,Very High
15568326,Female,44,637,149665.65,High
15568328,Female,22,488,66393.89,Very High
15568360,Female,41,569,163524.7,Very High
15568429,Female,46,633,120250.58,High
15568449,Male,38,661,15650.89,High
15568469,Male,43,653,27862.58,High
15568487,Male,35,712,69320.97,Medium
15568506,Female,31,524,161811.23,Very High
15568519,Male,41,534,13871.34,Very High
15568562,Male,40,689,49656.24,Medium
15568573,Female,51,554,179797.79,Very High
15568595,Male,64,544,124341.49,Very High
15568742,Female,41,536,121299.14,Very High
15568748,Male,45,671,108872.45,Medium
15568819,Female,42,619,191821.35,High
15568834,Male,27,698,27654.44,Medium
15568849,Female,31,540,158027.57,Very High
15568876,Female,34,496,180844.81,Very High
15568878,Male,34,654,159311.46,High
15568885,Female,34,620,120672.09,High
15568904,Male,34,608,36639.25,High
15568915,Male,38,681,101319.76,Medium
15568953,Male,27,477,133173.19,Very High
15568963,Male,34,674,175709.4,Medium
15568982,Female,24,726,54724.03,Medium
15569050,Male,45,444,130009.85,Very High
15569079,Male,48,632,64345.61,High
15569098,Male,44,627,35300.08,High
15569120,Male,30,615,156346.84,High
15569178,Female,18,570,71811.9,Very High
15569187,Male,35,680,143774.06,Medium
15569209,Female,34,464,158668.87,Very High
15569222,Male,32,781,40066.95,Low
15569247,Female,57,727,753.37,Medium
15569248,Female,43,554,149629.13,Very High
15569249,Female,55,576,67539.85,Very High
15569264,Male,32,622,149043.78,High
15569266,Male,28,644,29179.52,High
15569274,Male,49,678,195053.58,Medium
15569364,Male,36,666,35156.54,High
15569394,Male,24,704,182775.08,Medium
15569410,Female,33,601,153012.13,High
15569423,Male,41,731,22299.27,Medium
15569430,Female,36,704,152039.67,Medium
15569432,Female,48,656,85240.61,High
15569438,Male,36,607,198313.69,High
15569446,Female,34,732,187985.85,Medium
15569451,Male,35,463,118113.64,Very High
15569452,Female,58,652,193502.9,High
15569503,Male,44,765,159899.97,Low
15569526,Male,40,601,77977.69,High
15569571,Female,46,584,120376.87,High
15569572,Male,42,778,106197.44,Low
15569590,Male,42,601,40014.76,High
15569595,Female,50,678,8199.5,Medium
15569624,Female,31,671,145567.34,Medium
15569626,Male,35,577,109794.31,Very High
15569641,Female,41,692,59354.24,Medium
15569654,Female,31,850,35534.68,Very Low
15569666,Female,45,517,172674.36,Very High
15569670,Male,30,627,118029.09,High
15569678,Male,32,561,139451.98,Very High
15569682,Male,37,768,41788.25,Low
15569759,Female,27,583,163113.41,High
15569764,Female,41,687,158408.23,Medium
15569807,Female,34,673,20598.59,Medium
15569867,Female,29,529,19842.11,Very High
15569878,Male,37,592,3232.82,High
15569892,Male,35,516,101699.77,Very High
15569917,Male,30,706,137674.55,Medium
15569945,Male,29,509,69113.14,Very High
15569976,Male,65,754,121529.59,Low
15570002,Female,55,625,135853.62,High
15570004,Male,31,850,121866.87,Very Low
15570051,Female,38,775,153122.58,Low
15570060,Female,43,586,67046.83,High
15570073,Male,57,721,195940.96,Medium
15570086,Male,18,684,4777.23,Medium
15570087,Female,44,664,115452.51,High
15570134,Female,35,683,37976.36,Medium
15570141,Female,34,724,80320.3,Medium
15570145,Female,23,763,153983.99,Low
15570192,Female,40,608,61164.45,High
15570194,Male,29,412,12510.53,Very High
15570205,Male,36,682,147758.51,Medium
15570271,Male,31,577,196395.25,Very High
15570289,Male,43,697,66893.28,Medium
15570299,Female,31,584,99298.8,High
15570326,Male,34,621,99128.13,High
15570360,Female,35,641,125986.18,High
15570379,Male,51,669,85250.77,High
15570414,Male,41,618,136435.75,High
15570417,Male,35,579,4460.2,Very High
15570485,Male,40,558,92378.54,Very High
15570508,Male,49,600,91347.76,High
15570533,Female,55,621,75685.59,High
15570601,Female,47,785,33823.5,Low
15570629,Female,72,655,99920.41,High
15570681,Male,24,560,89734.7,Very High
15570769,Male,69,494,24489.44,Very High
15570835,Female,57,491,41229.73,Very High
15570855,Male,38,670,77864.41,Medium
15570857,Female,39,677,147578.26,Medium
15570859,Male,36,626,57531.14,High
15570895,Male,42,608,38866.85,High
15570908,Female,29,687,113050.92,Medium
15570912,Female,32,728,152643.48,Medium
15570931,Male,61,620,31641.52,High
15570932,Male,43,666,119100.05,High
15570943,Female,35,711,120586.32,Medium
15570947,Female,29,615,126396.01,High
15570970,Female,42,647,51362.82,High
15570990,Female,30,520,145160.96,Very High
15571002,Female,44,706,69865.49,Medium
15571059,Female,54,734,130805.54,Medium
15571065,Female,39,532,94977.3,Very High
15571081,Female,41,773,57549.65,Low
15571121,Female,50,670,3159.15,Medium
15571144,Male,28,655,126565.21,High
15571148,Female,21,645,28726.07,High
15571193,Male,42,579,22497.1,Very High
15571221,Male,58,747,190696.35,Low
15571244,Female,33,809,141426.78,Very Low
15571261,Female,35,714,53954.24,Medium
15571281,Male,28,651,74687.37,High
15571284,Male,32,756,56176.31,Low
15571302,Male,72,529,78695.68,Very High
15571305,Female,35,588,179866.01,High
15571415,Male,56,805,46791.09,Very Low
15571476,Male,38,635,158344.63,High
15571529,Female,48,650,57594.78,High
15571550,Male,39,699,80963.92,Medium
15571571,Female,31,680,176433.6,Medium
15571586,Male,29,524,2705.31,Very High
15571666,Male,30,642,43250.54,High
15571689,Female,37,740,27528.4,Low
15571752,Female,32,668,43595.9,High
15571756,Female,28,724,59351.68,Medium
15571778,Female,55,817,95941.55,Very Low
15571816,Female,70,850,705.18,Very Low
15571843,Male,24,486,98802.76,Very High
15571869,Female,50,669,166386.22,High
15571873,Male,24,655,51959.82,High
15571917,Female,38,771,72985.61,Low
15571928,Female,43,679,115136.51,Medium
15571940,Male,22,579,49829.8,Very High
15571958,Male,40,489,171867.08,Very High
15571973,Female,38,776,169291.7,Low
15571995,Female,33,775,26362.4,Low
15572021,Female,29,798,70223.22,Low
15572022,Female,36,605,690.84,High
15572038,Male,35,660,188891.96,High
15572050,Male,48,768,24533.89,Low
15572051,Male,40,721,144874.67,Medium
15572073,Male,35,663,62634.94,High
15572093,Female,24,613,129001.3,High
15572114,Male,40,673,3258.6,Medium
15572145,Female,34,767,94767.77,Low
15572158,Male,41,604,11819.84,High
15572174,Male,29,825,71192.82,Very Low
15572182,Female,33,505,45445.78,Very High
15572265,Male,46,646,45041.32,High
15572291,Male,40,825,117122.5,Very Low
15572294,Male,28,623,129526.57,High
15572356,Male,73,689,167969.15,Medium
15572360,Male,30,683,79240.9,Medium
15572361,Female,34,790,199420.41,Low
15572374,Male,36,733,108377.82,Medium
15572390,Female,39,850,103921.43,Very Low
15572398,Female,39,614,164018.98,High
15572408,Male,39,714,63846.36,Medium
15572415,Male,34,580,160095.31,High
15572428,Female,33,717,81508.1,Medium
15572461,Female,29,663,21170.81,High
15572467,Male,37,506,127543.81,Very High
15572547,Female,45,670,155921.81,Medium
15572626,Male,44,620,15627.51,High
15572631,Male,25,609,109895.16,High
15572657,Male,29,472,181224.56,Very High
15572706,Male,37,589,61324.87,High
15572728,Male,36,704,151335.24,Medium
15572735,Male,27,433,153698.65,Very High
15572762,Female,50,410,89822.48,Very High
15572767,Male,29,777,124489.88,Low
15572777,Male,47,780,37973.13,Low
15572792,Male,35,535,135536.72,Very High
15572801,Male,34,639,33950.08,High
15572956,Male,36,683,122305.91,Medium
15573045,Male,62,547,85153.0,Very High
15573077,Female,25,620,73857.94,High
15573086,Male,42,564,36721.4,Very High
15573112,Male,29,602,161229.84,High
15573152,Female,41,620,88852.47,High
15573171,Male,63,695,126688.83,Medium
15573242,Male,50,691,2704.98,Medium
15573278,Male,39,743,44265.28,Low
15573280,Male,50,646,27814.74,High
15573284,Female,45,579,11514.39,Very High
15573309,Female,48,626,95794.98,High
15573318,Male,26,610,166031.08,High
15573319,Female,35,493,197428.64,Very High
15573348,Male,35,850,3769.71,Very Low
15573452,Male,42,663,19862.78,High
15573456,Male,46,648,77405.95,High
15573520,Male,49,692,107472.99,Medium
15573599,Female,57,506,194421.12,Very High
15573628,Female,51,751,146411.41,Low
15573730,Male,42,586,41682.3,High
15573741,Male,38,698,105227.86,Medium
15573769,Female,24,764,186105.99,Low
15573798,Female,36,448,81999.53,Very High
15573851,Female,38,735,92220.12,Medium
15573854,Male,62,727,38652.96,Medium
15573876,Male,48,473,71139.8,Very High
15573888,Female,43,648,186438.86,High
15573893,Male,25,569,44381.06,Very High
15573926,Male,38,735,93478.96,Medium
15573971,Male,44,737,57898.58,Medium
15574004,Female,27,429,24020.49,Very High
15574012,Male,44,645,149756.71,High
15574068,Male,56,504,55857.48,Very High
15574071,Male,23,706,127187.04,Medium
15574072,Female,62,786,165702.64,Low
15574115,Female,41,656,35230.61,High
15574119,Female,64,598,152273.57,High
15574122,Male,34,817,165562.84,Very Low
15574137,Male,35,687,176450.19,Medium
15574142,Female,28,458,9578.24,Very High
15574167,Male,33,665,159840.51,High
15574169,Female,32,595,4721.3,High
15574206,Female,37,718,55100.09,Medium
15574213,Female,53,789,5036.39,Low
15574237,Female,21,588,110114.19,High
15574283,Male,31,580,64014.24,High
15574296,Male,23,757,93991.65,Low
15574305,Male,36,680,63795.8,Medium
15574324,Female,29,568,104617.99,Very High
15574331,Female,62,593,24765.53,High
15574352,Male,43,850,140071.57,Very Low
15574369,Male,53,415,22357.25,Very High
15574372,Male,35,738,181429.87,Medium
15574480,Male,31,652,158054.49,High
15574523,Male,39,576,68814.23,Very High
15574554,Male,66,537,130664.79,Very High
15574558,Male,32,718,41399.33,Medium
15574584,Male,33,670,39451.09,Medium
15574608,Male,36,713,143265.65,Medium
15574692,Female,39,667,40721.24,High
15574743,Male,29,577,168924.41,Very High
15574761,Female,41,466,178994.13,Very High
15574783,Female,37,584,180363.56,High
15574795,Female,38,495,47089.72,Very High
15574830,Male,58,633,147635.33,High
15574842,Female,25,653,199357.24,High
15574858,Male,37,530,287.99,Very High
15574868,Male,36,792,1871.25,Low
15574879,Female,37,631,23146.62,High
15574886,Male,32,706,146949.74,Medium
15574910,Male,50,601,185855.21,High
15574947,Male,36,656,21478.36,High
15575002,Male,29,676,36221.18,Medium
15575024,Male,29,503,143954.99,Very High
15575060,Male,24,797,182257.61,Low
15575119,Male,71,779,146895.36,Low
15575146,Male,51,492,67311.12,Very High
15575147,Male,22,699,68297.61,Medium
15575185,Male,33,757,194239.63,Low
15575214,Male,37,709,159486.76,Medium
15575243,Female,39,764,187905.12,Low
15575247,Male,30,524,126812.85,Very High
15575391,Female,37,677,38252.25,Medium
15575399,Female,42,480,101778.9,Very High
15575409,Male,31,581,107137.3,High
15575410,Female,39,667,118358.54,High
15575417,Male,37,849,17294.12,Very Low
15575428,Female,35,682,16910.98,Medium
15575430,Female,33,579,157564.75,Very High
15575438,Male,42,613,79323.61,High
15575445,Male,41,629,6936.27,High
15575486,Female,27,529,37769.98,Very High
15575492,Female,41,828,171378.77,Very Low
15575498,Female,39,705,96075.55,Medium
15575510,Female,32,659,153662.88,High
15575581,Female,30,614,54776.64,High
15575605,Male,38,725,158697.28,Medium
15575619,Female,32,656,17034.37,High
15575623,Female,31,589,148218.86,High
15575676,Male,24,638,162597.15,High
15575679,Male,24,590,58781.11,High
15575691,Female,58,689,49848.86,Medium
15575694,Female,45,729,71133.12,Medium
15575748,Male,36,809,109135.11,Very Low
15575759,Female,40,583,109638.78,High
15575858,Male,40,763,134281.11,Low
15575883,Male,34,559,9677.0,Very High
15575935,Male,59,673,21063.71,Medium
15575955,Female,24,764,88724.49,Low
15576000,Male,40,765,67972.45,Low
15576022,Male,38,565,80630.32,Very High
15576044,Male,28,579,145558.42,Very High
15576065,Female,40,731,159718.27,Medium
15576077,Female,27,610,103381.47,High
15576085,Male,41,739,143882.25,Medium
15576094,Male,71,743,29837.65,Low
15576111,Male,33,734,61829.89,Medium
15576124,Male,41,582,128528.83,High
15576126,Female,41,649,70523.92,High
15576131,Male,40,666,147878.05,High
15576156,Female,28,710,48426.98,Medium
15576162,Male,32,615,2755.53,High
15576185,Male,29,653,41671.81,High
15576196,Female,48,743,186489.14,Low
15576216,Female,37,655,79555.08,High
15576219,Male,32,615,6225.63,High
15576256,Male,39,582,129892.93,High
15576263,Female,22,759,22303.17,Low
15576269,Male,34,523,62030.06,Very High
15576304,Male,29,698,152723.23,Medium
15576313,Female,40,486,76192.21,Very High
15576352,Female,57,586,6057.81,High
15576360,Male,40,600,67803.83,High
15576368,Female,48,624,30020.09,High
15576517,Female,34,445,70618.0,Very High
15576526,Male,36,850,41291.05,Very Low
15576550,Female,38,619,112442.63,High
15576602,Male,38,809,80061.31,Very Low
15576615,Male,37,719,80408.59,Medium
15576623,Male,31,584,31474.27,High
15576641,Male,40,733,50783.1,Medium
15576644,Female,29,687,122134.56,Medium
15576676,Female,28,706,50299.14,Medium
15576680,Male,29,736,51705.01,Medium
15576683,Female,43,568,125870.79,Very High
15576706,Male,37,651,175820.91,High
15576714,Female,21,687,154767.34,Medium
15576723,Female,37,740,194270.91,Low
15576745,Male,48,769,197885.72,Low
15576760,Male,36,673,196142.26,Medium
15576774,Female,38,729,45779.9,Medium
15576824,Female,44,564,104722.47,Very High
15576928,Female,23,573,122964.18,Very High
15576935,Male,43,743,93228.86,Low
15576945,Male,29,582,142516.35,High
15576990,Female,25,790,58214.79,Low
15577018,Female,26,684,96885.19,Medium
15577064,Male,36,592,107948.72,High
15577078,Male,38,539,152880.07,Very High
15577107,Female,22,657,168412.07,High
15577170,Male,60,532,13889.73,Very High
15577178,Male,45,511,193160.25,Very High
15577274,Female,43,549,6101.41,Very High
15577313,Male,44,619,5075.17,High
15577359,Male,47,767,121964.46,Low
15577398,Male,30,850,188809.23,Very Low
15577402,Male,31,593,20492.16,High
15577423,Female,39,627,93132.61,High
15577478,Female,72,714,86733.61,Medium
15577514,Female,36,698,13387.88,Medium
15577515,Female,55,554,140003.0,Very High
15577587,Male,52,550,41730.37,Very High
15577598,Male,23,651,70400.86,High
15577657,Male,41,732,170886.17,Medium
15577683,Female,29,539,100919.19,Very High
15577695,Male,41,678,14083.12,Medium
15577700,Male,37,749,134526.87,Low
15577751,Male,30,759,8693.8,Low
15577771,Female,40,453,120373.84,Very High
15577806,Female,54,794,192154.66,Low
15577831,Male,41,560,10779.69,Very High
15577905,Male,34,660,182262.66,High
15577913,Female,32,651,87609.5,High
15577970,Male,34,489,43540.59,Very High
15577985,Female,34,574,17993.43,Very High
15577988,Female,35,614,3342.62,High
15577999,Female,62,850,70916.0,Very Low
15578006,Female,85,787,116537.96,Low
15578045,Female,49,538,173779.25,Very High
15578073,Male,22,686,142331.85,Medium
15578096,Male,26,537,103563.23,Very High
15578098,Male,31,600,121555.51,High
15578141,Male,38,592,12905.89,High
15578156,Male,32,615,56897.1,High
15578186,Male,37,486,144995.33,Very High
15578211,Male,23,777,163225.48,Low
15578238,Male,47,727,193305.35,Medium
15578251,Male,37,644,92809.73,High
15578297,Female,43,737,138510.01,Medium
15578307,Female,33,512,83681.97,Very High
15578369,Female,37,652,159132.83,High
15578374,Male,36,620,45414.09,High
15578375,Male,39,628,134441.6,High
15578435,Male,40,640,157886.6,High
15578462,Female,76,596,13455.43,High
15578515,Female,38,659,158553.1,High
15578546,Male,26,491,145900.89,Very High
15578603,Female,54,584,138192.98,High
15578648,Male,49,543,104253.56,Very High
15578671,Female,29,706,133267.69,Medium
15578722,Male,39,689,196112.45,Medium
15578738,Male,32,609,151924.9,High
15578747,Male,26,701,59195.05,Medium
15578761,Female,42,459,177683.02,Very High
15578783,Male,35,620,17242.79,High
15578787,Female,52,641,90964.54,High
15578788,Male,40,786,41248.8,Low
15578799,Female,58,625,192072.1,High
15578809,Male,40,651,174434.06,High
15578825,Female,29,734,17744.72,Medium
15578835,Female,50,675,8270.06,Medium
15578865,Female,50,632,6985.34,High
15578866,Female,43,676,55119.53,Medium
15578878,Female,30,569,33230.37,Very High
15578908,Female,32,725,138525.19,Medium
15578977,Male,34,786,144517.19,Low
15578980,Female,33,516,58685.59,Very High
15579040,Female,46,556,109184.24,Very High
15579062,Male,32,707,30807.02,Medium
15579074,Male,38,619,184754.26,High
15579109,Male,35,574,15118.2,Very High
15579112,Male,47,598,186116.54,High
15579130,Female,43,708,181499.77,Medium
15579131,Male,25,835,83449.65,Very Low
15579166,Female,30,619,160948.87,High
15579183,Male,64,586,53710.23,High
15579189,Female,42,690,120512.08,Medium
15579207,Male,37,545,105476.65,Very High
15579208,Female,48,550,191870.28,Very High
15579212,Male,57,638,33676.48,High
15579223,Male,30,573,192950.6,Very High
15579262,Male,41,497,22074.48,Very High
15579287,Male,35,581,86383.82,High
15579334,Female,45,769,124118.71,Low
15579345,Female,74,775,134869.93,Low
15579387,Female,44,635,113291.75,High
15579433,Male,29,793,192120.66,Low
15579526,Male,42,551,23399.58,Very High
15579548,Male,36,735,105152.17,Medium
15579559,Male,30,544,80676.83,Very High
15579566,Female,43,616,18761.92,High
15579583,Female,40,641,51703.09,High
15579616,Female,42,683,198134.9,Medium
15579617,Female,51,489,174098.28,Very High
15579647,Male,42,682,160828.98,Medium
15579706,Female,46,611,77677.14,High
15579714,Female,29,542,196651.72,Very High
15579777,Male,41,850,128892.36,Very Low
15579781,Male,31,806,190803.37,Very Low
15579787,Male,39,686,155023.93,Medium
15579808,Female,39,754,87684.93,Low
15579820,Male,38,704,173776.5,Medium
15579826,Female,66,439,65535.56,Very High
15579891,Male,52,714,186775.25,Medium
15579892,Male,19,708,4491.77,Medium
15579914,Male,30,633,139712.81,High
15579915,Male,29,707,139953.94,Medium
15579969,Female,32,683,24991.92,Medium
15579994,Male,23,616,62733.05,High
15579996,Female,25,524,193668.49,Very High
15580043,Female,22,575,34397.08,Very High
15580068,Male,35,526,105618.14,Very High
15580134,Male,27,479,40315.27,Very High
15580146,Male,31,738,41970.72,Medium
15580148,Male,40,750,20451.99,Low
15580149,Male,41,638,43889.41,High
15580203,Male,39,674,100130.95,Medium
15580213,Female,43,585,89402.54,High
15580227,Male,33,803,115676.61,Very Low
15580249,Male,45,502,84663.21,Very High
15580252,Male,44,748,2048.55,Low
15580366,Male,54,566,172601.62,Very High
15580462,Male,40,607,19842.22,High
15580487,Male,38,627,84270.09,High
15580493,Male,33,469,163477.22,Very High
15580560,Female,73,769,29792.11,Low
15580579,Female,40,490,49594.19,Very High
15580623,Male,28,573,77660.03,Very High
15580629,Male,31,604,192029.19,High
15580682,Female,40,652,33524.6,High
15580684,Female,29,706,42334.38,Medium
15580701,Male,33,712,79176.09,Medium
15580719,Female,23,697,79734.23,Medium
15580805,Male,27,655,51620.94,High
15580845,Male,57,685,113483.96,Medium
15580872,Female,38,761,109394.62,Low
15580912,Male,32,748,172638.13,Low
15580914,Male,48,478,44147.95,Very High
15580935,Male,33,687,121747.96,Medium
15580953,Male,30,544,126796.69,Very High
15580956,Female,43,683,117349.19,Medium
15580988,Male,29,842,123437.05,Very Low
15581036,Female,40,712,120158.72,Medium
15581089,Male,35,744,43036.6,Low
15581102,Female,22,554,142670.61,Very High
15581115,Female,39,603,48224.72,High
15581197,Female,51,762,85578.63,Low
15581198,Female,39,668,112946.67,High
15581229,Female,32,502,122763.95,Very High
15581237,Male,33,573,149536.15,Very High
15581252,Female,29,632,7820.78,High
15581280,Male,29,714,69578.49,Medium
15581282,Female,39,651,24176.44,High
15581286,Female,40,734,12799.23,Medium
15581295,Female,45,617,143298.06,High
15581323,Female,28,488,106799.49,Very High
15581332,Female,30,655,184259.6,High
15581370,Male,38,681,23531.5,Medium
15581388,Male,33,487,41365.85,Very High
15581440,Female,48,724,80552.11,Medium
15581479,Male,30,523,138176.78,Very High
15581505,Male,35,641,93148.93,High
15581525,Male,33,775,128841.31,Low
15581526,Male,41,574,70550.0,Very High
15581539,Male,37,474,57175.32,Very High
15581548,Female,22,637,122865.55,High
15581551,Male,41,850,175347.28,Very Low
15581620,Male,28,597,78707.97,High
15581626,Male,54,664,162719.69,High
15581654,Male,32,798,37731.95,Low
15581700,Male,43,615,150048.37,High
15581733,Female,28,781,177703.15,Low
15581736,Male,47,673,34047.54,Medium
15581748,Male,57,754,70954.41,Low
15581811,Female,30,678,16146.0,Medium
15581840,Male,33,626,138504.28,High
15581871,Male,42,504,149697.78,Very High
15581893,Male,43,747,101495.0,Low
15581968,Female,33,745,174431.01,Low
15582016,Male,41,766,62402.38,Low
15582033,Male,44,753,15523.09,Low
15582066,Male,21,561,36942.35,Very High
15582090,Female,36,684,117038.96,Medium
15582116,Female,45,767,26628.88,Low
15582129,Male,62,517,187756.24,Very High
15582149,Female,34,850,88743.99,Very Low
15582154,Female,45,670,54340.24,Medium
15582168,Female,61,713,123663.63,Medium
15582180,Male,29,561,173870.39,Very High
15582246,Female,45,737,177695.67,Medium
15582259,Female,37,567,28690.9,Very High
15582276,Male,34,638,155643.04,High
15582325,Male,52,524,173899.42,Very High
15582335,Female,40,556,17992.94,Very High
15582404,Female,26,572,119381.41,Very High
15582492,Female,29,535,185630.76,Very High
15582519,Male,47,479,5811.9,Very High
15582591,Male,59,615,110275.17,High
15582616,Female,38,520,56388.63,Very High
15582714,Male,47,749,135655.29,Low
15582741,Female,35,693,88705.14,Medium
15582762,Male,77,667,34702.92,High
15582797,Male,35,685,113639.64,Medium
15582841,Male,29,600,34747.43,High
15582847,Male,26,662,72929.96,High
15582849,Female,51,757,22835.13,Low
15582892,Male,46,601,32683.88,High
15582903,Male,39,643,170392.59,High
15582910,Male,38,514,16717.11,Very High
15582944,Female,39,425,140941.47,Very High
15582951,Female,25,696,121904.44,Medium
15582960,Female,33,473,145698.73,Very High
15583026,Female,38,535,80425.65,Very High
15583033,Female,20,640,78310.82,High
15583049,Female,34,643,188533.11,High
15583067,Female,36,687,63185.05,Medium
15583073,Female,56,771,25222.6,Low
15583076,Male,41,588,198766.61,High
15583090,Female,29,581,46735.19,High
15583137,Female,48,637,132005.85,High
15583138,Male,42,739,172149.76,Medium
15583212,Female,43,600,194764.83,High
15583221,Male,70,667,20881.96,High
15583278,Female,36,743,33693.78,Low
15583303,Female,29,593,34004.44,High
15583353,Female,45,610,38276.84,High
15583364,Female,32,476,112132.86,Very High
15583371,Male,37,632,60778.11,High
15583392,Male,37,747,85470.45,Low
15583394,Male,39,659,198103.32,High
15583456,Male,45,745,122381.02,Low
15583462,Male,28,695,88689.4,Medium
15583480,Female,36,807,147007.33,Very Low
15583499,Male,32,510,46127.7,Very High
15583548,Female,47,525,82522.61,Very High
15583552,Male,44,674,73731.32,Medium
15583576,Male,30,671,102057.86,Medium
15583580,Female,35,566,66245.44,Very High
15583595,Female,28,461,103349.74,Very High
15583597,Male,47,696,80591.18,Medium
15583668,Female,42,726,175161.05,Medium
15583680,Male,41,615,149278.96,High
15583681,Male,31,616,163809.08,High
15583692,Female,35,591,57064.57,High
15583718,Male,38,696,8018.49,Medium
15583724,Female,29,645,74346.11,High
15583725,Male,48,682,168840.23,Medium
15583736,Male,36,829,90106.94,Very Low
15583748,Male,38,592,180426.2,High
15583755,Male,33,592,37140.2,High
15583764,Male,31,791,96546.55,Low
15583840,Male,35,587,23481.69,High
15583849,Male,40,408,124874.23,Very High
15583850,Male,68,672,184936.77,Medium
15583857,Female,43,623,154908.52,High
15583863,Male,49,681,187280.51,Medium
15584037,Male,58,727,25881.0,Medium
15584090,Female,40,621,131283.6,High
15584091,Female,36,742,47271.61,Low
15584113,Female,53,823,131259.6,Very Low
15584114,Female,43,678,193828.27,Medium
15584156,Male,27,593,94620.0,High
15584190,Male,36,704,100601.73,Medium
15584229,Female,23,671,159553.27,Medium
15584271,Male,59,633,137273.97,High
15584288,Female,33,629,59129.72,High
15584320,Female,39,686,136643.84,Medium
15584338,Female,40,714,62762.12,Medium
15584363,Male,30,824,162053.92,Very Low
15584364,Male,48,652,163944.18,High
15584452,Male,41,667,167181.77,High
15584453,Male,32,555,168605.96,Very High
15584462,Male,34,739,60584.33,Medium
15584477,Female,35,655,82900.25,High
15584505,Female,23,580,196241.43,High
15584518,Female,50,589,34941.23,High
15584532,Female,36,709,42085.58,Medium
15584536,Male,46,720,133516.51,Medium
15584545,Female,40,532,177099.71,Very High
15584580,Male,35,443,13946.66,Very High
15584620,Female,36,850,22102.25,Very Low
15584704,Male,48,519,137959.0,Very High
15584749,Male,39,668,38466.39,High
