customer_id,balance,monthly_charges,total_charges,payment_method,paperless_billing
15568904,106288.54,58.48,2105.28,Credit card,0
15568915,153722.47,119.49,8603.28,Credit card,1
15568953,128554.98,142.26,1707.12,Credit card,1
15568963,152797.9,181.34,4352.16,Credit card,1
15568982,0.0,69.6,5011.2,Debit card,0
15569050,0.0,120.34,8664.48,Debit card,1
15569079,126066.26,84.53,6086.16,Credit card,0
15569098,153548.12,64.45,4640.4,Bank transfer,0
15569120,0.0,154.29,12960.36,Debit card,1
15569178,82767.42,84.26,4044.48,Credit card,0
15569187,0.0,143.81,15531.48,Electronic check,1
15569209,76001.57,155.62,9337.2,Credit card,1
15569222,147107.91,67.46,4857.12,Credit card,0
15569247,109679.72,29.08,348.96,Bank transfer,0
15569248,0.0,148.69,17842.8,Debit card,1
15569249,44582.07,98.97,7125.84,Bank transfer,0
15569264,179305.09,163.1,9786.0,Credit card,1
15569266,155060.41,59.58,5004.72,Credit card,0
15569274,116933.11,192.08,4609.92,Credit card,1
15569364,0.0,53.3,1918.8,Debit card,0
15569394,148197.15,198.54,4764.96,Credit card,1
15569410,114430.18,168.67,14168.28,Credit card,1
15569423,0.0,42.58,2043.84,Debit card,0
15569430,175509.8,177.03,4248.72,Credit card,1
15569432,0.0,95.03,10263.24,Debit card,0
15569438,106702.94,205.27,24632.4,Bank transfer,1
15569446,122338.43,199.01,19104.96,Credit card,1
15569451,101257.16,125.62,3014.88,Credit card,1
15569452,116353.2,202.71,7297.56,Bank transfer,1
15569503,0.0,157.25,11322.0,Debit card,1
15569526,98627.13,103.78,12453.6,Bank transfer,0
15569571,87361.02,137.42,9894.24,Credit card,1
15569572,0.0,112.5,8100.0,Debit card,1
15569590,98495.72,60.12,721.44,Credit card,0
15569595,0.0,18.83,1355.76,Debit card,0
15569624,105864.6,161.19,11605.68,Credit card,1
15569626,110080.3,120.01,7200.6,Credit card,1
15569641,130701.29,81.07,7782.72,Credit card,0
15569654,51293.47,49.31,1775.16,Bank transfer,0
15569666,0.0,155.9,7483.2,Electronic check,1
15569670,112372.96,127.21,9159.12,Credit card,1
15569678,166824.59,153.23,11032.56,Credit card,1
15569682,108308.11,63.07,6811.56,Credit card,0
15569759,0.0,171.93,8252.64,Debit card,1
15569764,154007.21,167.11,4010.64,Credit card,1
15569807,42157.08,35.49,3407.04,Credit card,0
15569867,0.0,40.54,3891.84,Debit card,0
15569878,96651.03,29.19,1050.84,Credit card,0
15569892,57369.61,105.36,12643.2,Credit card,1
15569917,87609.68,151.87,10934.64,Bank transfer,1
15569945,0.0,81.59,979.08,Debit card,0
15569976,136186.44,133.7,1604.4,Credit card,1
15570002,118772.71,179.03,17186.88,Bank transfer,1
15570004,0.0,125.56,4520.16,Debit card,1
15570051,179886.41,178.59,12858.48,Bank transfer,1
15570060,132558.26,87.76,8424.96,Credit card,0
15570073,0.0,175.28,2103.36,Debit card,1
15570086,90544.0,29.56,3192.48,Bank transfer,0
15570087,142989.69,129.66,12447.36,Credit card,1
15570134,187530.66,83.78,6032.16,Credit card,0
15570141,132352.69,98.79,3556.44,Credit card,0
15570145,0.0,152.32,3655.68,Debit card,1
15570192,121729.42,81.23,7798.08,Bank transfer,0
15570194,0.0,34.43,2065.8,Electronic check,0
15570205,0.0,147.13,8827.8,Debit card,1
15570271,0.0,175.66,12647.52,Debit card,1
15570289,103409.16,83.26,7992.96,Credit card,0
15570299,152622.34,117.64,8470.08,Credit card,0
15570326,0.0,106.61,7675.92,Debit card,0
15570360,0.0,128.99,6191.52,Electronic check,1
15570379,88827.53,96.37,3469.32,Bank transfer,0
15570414,115251.64,142.98,6863.04,Bank transfer,1
15570417,0.0,27.72,332.64,Debit card,0
15570485,161766.87,113.25,5436.0,Bank transfer,0
15570508,90218.9,101.66,8539.44,Credit card,0
15570533,131033.76,94.73,7957.32,Bank transfer,0
15570601,122031.55,58.49,6316.92,Credit card,0
15570629,138089.97,127.98,7678.8,Credit card,0
15570681,116084.32,104.19,1250.28,Credit card,0
15570769,93320.8,46.41,5012.28,Credit card,0
15570835,112044.72,63.16,3031.68,Credit card,0
15570855,0.0,88.89,7466.76,Debit card,0
15570857,111213.64,163.66,163.66,Credit card,1
15570859,181671.16,99.19,2380.56,Credit card,0
15570895,163548.07,68.92,8270.4,Credit card,0
15570908,93617.07,120.25,10101.0,Bank transfer,1
15570912,127772.1,170.37,18399.96,Credit card,1
15570931,0.0,38.37,2302.2,Electronic check,0
15570932,137780.74,143.92,12089.28,Credit card,1
15570943,133607.75,132.53,3180.72,Credit card,1
15570947,143330.56,150.83,12669.72,Credit card,1
15570970,0.0,66.8,7214.4,Debit card,0
15570990,145222.99,166.75,8004.0,Bank transfer,1
15571002,129605.99,89.66,4303.68,Bank transfer,0
15571059,0.0,121.0,4356.0,Debit card,1
15571065,0.0,103.15,103.15,Debit card,0
15571081,190238.93,88.49,7433.16,Credit card,0
15571121,138340.06,35.38,3396.48,Bank transfer,0
15571144,0.0,129.47,15536.4,Electronic check,1
15571148,0.0,47.94,575.28,Electronic check,0
15571193,144386.32,52.41,52.41,Credit card,0
15571221,116313.57,188.36,15822.24,Credit card,1
15571244,0.0,141.86,5106.96,Electronic check,1
15571261,126077.43,87.87,6326.64,Credit card,0
15571281,79562.98,86.17,10340.4,Credit card,0
15571284,109528.16,87.24,87.24,Credit card,0
15571302,94216.05,91.71,5502.6,Credit card,0
15571305,103060.63,177.35,2128.2,Credit card,1
15571415,151802.29,73.76,5310.72,Credit card,0
15571476,103257.14,159.44,159.44,Bank transfer,1
15571529,138232.24,80.73,6781.32,Credit card,0
15571550,0.0,79.47,8582.76,Debit card,0
15571571,127331.46,202.13,7276.68,Credit card,1
15571586,159035.45,38.11,1371.96,Credit card,0
15571666,134497.27,68.22,6549.12,Bank transfer,0
15571689,0.0,46.94,2816.4,Debit card,0
15571752,92041.87,62.14,7456.8,Credit card,0
15571756,0.0,61.46,3687.6,Debit card,0
15571778,117561.49,109.59,13150.8,Credit card,0
15571816,0.0,12.59,755.4,Debit card,0
15571843,0.0,94.34,1132.08,Debit card,0
15571869,112650.89,167.55,8042.4,Bank transfer,1
15571873,107065.31,71.36,7706.88,Credit card,0
15571917,137657.71,105.47,6328.2,Credit card,0
15571928,0.0,131.95,6333.6,Debit card,1
15571940,118680.57,71.33,2567.88,Credit card,0
15571958,221532.8,188.45,6784.2,Credit card,1
15571973,169824.46,178.55,4285.2,Credit card,1
15571995,118897.1,63.8,765.6,Credit card,0
15572021,80204.11,94.55,9076.8,Credit card,0
15572022,0.0,12.58,905.76,Electronic check,0
15572038,113948.58,186.5,20142.0,Credit card,1
15572050,122831.58,50.87,1831.32,Credit card,0
15572051,0.0,132.73,4778.28,Debit card,1
15572073,0.0,76.2,4572.0,Debit card,0
15572093,140453.91,140.57,11807.88,Credit card,1
15572114,121629.22,32.96,395.52,Credit card,0
15572145,0.0,102.97,9885.12,Debit card,0
15572158,0.0,21.85,786.6,Electronic check,0
15572174,148874.01,105.66,3803.76,Bank transfer,0
15572182,106506.77,89.85,3234.6,Credit card,0
15572265,170826.55,87.16,1045.92,Credit card,0
15572291,132308.22,129.45,9320.4,Bank transfer,1
15572294,0.0,119.94,10074.96,Electronic check,1
15572356,108555.07,168.26,2019.12,Bank transfer,1
15572360,57657.49,86.68,10401.6,Bank transfer,0
15572361,164011.48,202.79,4866.96,Credit card,1
15572374,0.0,114.31,1371.72,Electronic check,1
15572390,0.0,110.6,7963.2,Debit card,1
15572398,0.0,160.68,11568.96,Debit card,1
15572408,149887.49,99.69,3588.84,Credit card,0
15572415,0.0,157.41,11333.52,Debit card,1
15572428,115777.23,97.29,97.29,Credit card,0
15572461,102714.65,57.05,2738.4,Bank transfer,0
15572467,0.0,130.29,7817.4,Debit card,1
15572547,104930.38,157.67,17028.36,Credit card,1
15572626,0.0,37.02,3553.92,Debit card,0
15572631,0.0,103.58,12429.6,Electronic check,1
15572657,102490.27,178.39,17125.44,Bank transfer,1
15572706,0.0,63.1,3786.0,Debit card,0
15572728,127397.34,157.22,15093.12,Credit card,1
15572735,0.0,152.08,3649.92,Debit card,1
15572762,102278.79,114.19,2740.56,Credit card,0
15572767,0.0,127.74,3065.76,Debit card,1
15572777,86006.21,56.55,4750.2,Credit card,0
15572792,118989.92,142.8,13708.8,Credit card,1
15572801,139393.19,73.2,4392.0,Bank transfer,0
15572956,115350.63,131.22,7873.2,Credit card,1
15573045,127738.75,114.12,13694.4,Credit card,0
15573077,141825.88,94.82,9102.72,Credit card,0
15573086,99824.45,57.57,4835.88,Credit card,0
15573112,103907.28,161.94,9716.4,Credit card,1
15573152,0.0,98.04,10588.32,Electronic check,0
15573171,146202.93,139.5,1674.0,Credit card,1
15573242,136953.47,34.8,2505.6,Credit card,0
15573278,0.0,60.89,4384.08,Debit card,0
15573280,145295.31,68.97,4965.84,Credit card,0
15573284,0.0,33.6,806.4,Electronic check,0
15573309,0.0,103.83,2491.92,Debit card,0
15573318,0.0,162.36,15586.56,Debit card,1
15573319,178317.6,203.27,19513.92,Bank transfer,1
15573348,102050.47,30.45,3288.6,Credit card,0
15573452,115930.87,45.94,3858.96,Credit card,0
15573456,127209.0,107.59,11619.72,Credit card,0
15573520,110540.43,130.14,9370.08,Bank transfer,1
15573599,0.0,186.02,13393.44,Electronic check,1
15573628,148074.79,156.22,13122.48,Credit card,1
15573730,126704.49,77.74,5597.28,Credit card,0
15573741,95010.92,113.94,13672.8,Credit card,1
15573769,0.0,179.09,15043.56,Debit card,1
15573798,83947.12,104.93,7554.96,Credit card,0
15573851,0.0,112.85,1354.2,Electronic check,0
15573854,0.0,56.21,3372.6,Electronic check,0
15573876,0.0,83.28,7994.88,Debit card,0
15573888,107963.38,183.56,2202.72,Bank transfer,1
15573893,173459.45,87.0,9396.0,Credit card,0
15573926,86131.71,114.82,9644.88,Bank transfer,0
15573971,0.0,72.25,6069.0,Electronic check,0
15574004,117307.44,61.61,4435.92,Credit card,0
15574012,113755.78,165.86,15922.56,Credit card,1
15574068,104217.3,74.18,8011.44,Bank transfer,0
15574071,93301.97,143.98,3455.52,Bank transfer,1
15574072,0.0,150.09,14408.64,Debit card,1
15574115,101179.23,68.54,4934.88,Credit card,0
15574119,62979.93,148.34,1780.08,Credit card,1
15574122,129278.43,169.36,10161.6,Bank transfer,1
15574137,0.0,171.04,6157.44,Debit card,1
15574142,171932.26,57.77,1386.48,Credit card,0
15574167,101286.11,160.39,3849.36,Credit card,1
15574169,92466.21,29.8,29.8,Credit card,0
15574206,0.0,69.92,5873.28,Debit card,0
15574213,158271.74,39.94,479.28,Credit card,0
15574237,0.0,115.76,11112.96,Debit card,1
15574283,0.0,77.35,1856.4,Electronic check,0
15574296,80673.96,114.43,2746.32,Credit card,0
15574305,116275.12,82.6,2973.6,Credit card,0
15574324,129177.01,130.56,3133.44,Bank transfer,1
15574331,118233.81,50.37,1813.32,Bank transfer,0
15574352,161256.53,152.91,7339.68,Credit card,1
15574369,167259.44,55.72,3343.2,Credit card,0
15574372,161274.05,199.38,11962.8,Credit card,1
15574480,132862.59,163.64,1963.68,Bank transfer,1
15574523,0.0,81.35,976.2,Debit card,0
15574554,103291.25,148.38,14244.48,Credit card,1
15574558,0.0,58.5,5616.0,Debit card,0
15574584,126679.69,63.88,6132.48,Credit card,0
15574608,133889.35,151.47,14541.12,Credit card,1
15574692,0.0,57.93,1390.32,Debit card,0
15574743,0.0,152.77,3666.48,Debit card,1
15574761,33563.95,178.2,6415.2,Credit card,1
15574783,0.0,174.3,2091.6,Debit card,1
15574795,63093.01,60.71,1457.04,Credit card,0
15574830,128137.42,166.25,3990.0,Credit card,1
15574842,158266.42,225.87,5420.88,Credit card,1
15574858,0.0,24.24,2327.04,Debit card,0
15574868,115725.24,42.92,2575.2,Bank transfer,0
15574879,121801.72,61.56,1477.44,Bank transfer,0
15574886,94486.47,148.63,10701.36,Credit card,1
15574910,115625.07,184.22,4421.28,Credit card,1
15574947,97786.08,56.57,5430.72,Bank transfer,0
15575002,140720.93,63.29,3037.92,Credit card,0
15575024,0.0,143.96,5182.56,Debit card,1
15575060,0.0,175.88,10552.8,Debit card,1
15575119,0.0,146.41,5270.76,Debit card,1
15575146,117808.74,97.76,9384.96,Credit card,0
15575147,99339.0,83.82,9052.56,Credit card,0
15575185,77253.22,185.45,11127.0,Bank transfer,1
15575214,0.0,144.91,12172.44,Debit card,1
15575243,129068.54,199.95,2399.4,Credit card,1
15575247,0.0,129.68,1556.16,Debit card,1
15575391,0.0,55.88,2011.68,Debit card,0
15575399,152160.21,131.64,1579.68,Credit card,1
15575409,116891.72,118.81,8554.32,Credit card,1
15575410,83765.35,135.2,6489.6,Credit card,1
15575417,143452.74,59.93,5034.12,Credit card,0
15575428,117438.92,55.71,1337.04,Credit card,0
15575430,118392.75,161.06,1932.72,Credit card,1
15575438,115076.06,95.36,8010.24,Credit card,0
15575445,150148.51,40.3,4836.0,Bank transfer,0
15575486,0.0,55.47,665.64,Debit card,0
15575492,0.0,166.82,14012.88,Debit card,1
15575498,149379.66,126.47,7588.2,Credit card,0
15575510,155584.21,163.39,3921.36,Bank transfer,1
15575581,131344.52,89.35,3216.6,Credit card,0
15575605,0.0,156.25,11250.0,Debit card,1
15575619,104254.27,41.83,501.96,Credit card,0
15575623,110635.32,152.11,18253.2,Credit card,1
15575676,0.0,159.5,1914.0,Electronic check,1
15575679,126431.54,79.95,6715.8,Credit card,0
15575691,0.0,65.54,3932.4,Electronic check,0
15575694,91091.06,96.94,8142.96,Credit card,0
15575748,68881.59,125.28,13530.24,Bank transfer,1
15575759,54428.37,111.53,4015.08,Credit card,1
15575858,0.0,135.9,4892.4,Debit card,1
15575883,137390.11,52.67,1264.08,Credit card,0
15575935,178058.06,68.26,68.26,Bank transfer,0
15575955,0.0,97.94,97.94,Debit card,0
15576000,138033.55,89.35,6433.2,Credit card,0
15576022,0.0,91.19,5471.4,Electronic check,0
15576044,150329.15,155.85,11221.2,Credit card,1
15576065,171325.98,170.8,10248.0,Credit card,1
15576077,159561.93,122.09,13185.72,Bank transfer,1
15576085,0.0,143.9,8634.0,Electronic check,1
15576094,0.0,48.86,48.86,Electronic check,0
15576111,121898.58,81.81,4908.6,Credit card,0
15576124,40488.76,125.18,1502.16,Credit card,1
15576126,125785.23,89.64,2151.36,Credit card,0
15576131,0.0,147.23,8833.8,Debit card,1
15576156,0.0,52.36,3769.92,Debit card,0
15576162,92199.84,28.13,2362.92,Credit card,0
15576185,0.0,58.73,1409.52,Debit card,0
15576196,118207.69,197.14,11828.4,Bank transfer,1
15576216,108862.76,94.63,4542.24,Credit card,0
15576219,0.0,29.19,1401.12,Debit card,0
15576256,0.0,132.24,7934.4,Debit card,1
15576263,0.0,30.59,1835.4,Debit card,0
15576269,0.0,75.69,6357.96,Debit card,0
15576304,95167.55,153.54,9212.4,Credit card,1
15576313,71340.09,86.19,9308.52,Credit card,0
15576352,0.0,29.05,1045.8,Electronic check,0
15576360,141136.79,89.67,1076.04,Credit card,0
15576368,122388.38,67.37,2425.32,Bank transfer,0
15576517,131082.17,102.51,8610.84,Credit card,0
15576526,0.0,58.41,4205.52,Electronic check,0
15576550,0.0,105.7,1268.4,Debit card,1
15576602,0.0,90.72,3265.92,Debit card,0
15576615,145382.61,100.81,12097.2,Credit card,0
15576623,0.0,50.23,3013.8,Debit card,0
15576641,125725.02,85.18,5110.8,Credit card,0
15576644,78939.15,125.62,6029.76,Credit card,1
15576676,124923.35,84.65,6094.8,Credit card,0
15576680,0.0,67.09,3220.32,Electronic check,0
15576683,0.0,116.89,12624.12,Debit card,1
15576706,114453.58,175.69,18974.52,Bank transfer,1
15576714,0.0,152.97,14685.12,Debit card,1
15576723,0.0,185.89,15614.76,Debit card,1
15576745,96542.16,203.39,4881.36,Bank transfer,1
15576760,73088.06,198.42,11905.2,Bank transfer,1
15576774,0.0,62.15,5220.6,Electronic check,0
15576824,111760.4,140.03,5041.08,Credit card,1
15576928,0.0,114.47,2747.28,Debit card,1
15576935,161807.18,125.96,3023.04,Bank transfer,0
15576945,0.0,130.76,130.76,Debit card,1
15576990,152885.77,83.45,5007.0,Credit card,0
15577018,114035.39,109.84,2636.16,Bank transfer,0
15577064,104702.65,129.66,3111.84,Credit card,1
15577078,0.0,139.4,10036.8,Debit card,1
15577107,0.0,176.34,12696.48,Electronic check,1
15577170,76705.87,47.08,2824.8,Bank transfer,0
15577178,68375.27,183.22,10993.2,Credit card,1
15577274,134985.66,37.33,1343.88,Credit card,0
15577313,116967.68,33.77,1215.72,Credit card,0
15577359,0.0,113.64,6818.4,Debit card,1
15577398,86449.39,182.31,13126.32,Credit card,1
15577402,0.0,41.08,4436.64,Electronic check,0
15577423,124586.93,108.3,6498.0,Credit card,0
15577478,0.0,84.28,3034.08,Debit card,0
15577514,121263.62,41.35,3473.4,Credit card,0
15577515,108477.27,144.94,144.94,Bank transfer,1
15577587,121016.23,64.93,3895.8,Credit card,0
15577598,115636.05,100.01,4800.48,Credit card,0
15577657,0.0,166.41,15975.36,Debit card,1
15577683,0.0,108.1,5188.8,Debit card,1
15577695,148088.11,45.95,1102.8,Credit card,0
15577700,185063.7,163.87,19664.4,Credit card,1
15577751,101802.67,34.52,1656.96,Bank transfer,0
15577771,111524.49,129.04,1548.48,Credit card,1
15577806,75900.84,183.51,2202.12,Credit card,1
15577831,152532.3,43.86,2105.28,Bank transfer,0
15577905,106486.66,191.86,18418.56,Bank transfer,1
15577913,144581.96,106.7,10243.2,Credit card,0
15577970,0.0,48.28,2896.8,Electronic check,0
15577985,112324.45,55.84,3350.4,Credit card,0
15577988,0.0,26.79,321.48,Debit card,0
15577999,124678.35,89.8,1077.6,Credit card,0
15578006,0.0,121.11,14533.2,Debit card,1
15578045,141434.04,178.03,19227.24,Bank transfer,1
15578073,0.0,142.61,13690.56,Electronic check,1
15578096,106397.75,114.26,9597.84,Bank transfer,1
15578098,0.0,125.3,12028.8,Debit card,1
15578141,0.0,22.75,819.0,Debit card,0
15578156,138521.83,80.19,4811.4,Credit card,0
15578186,115217.99,162.11,17507.88,Credit card,1
15578211,0.0,160.02,11521.44,Debit card,1
15578238,0.0,185.09,15547.56,Debit card,1
15578251,186347.97,129.29,3102.96,Credit card,0
15578297,125537.38,146.26,1755.12,Credit card,1
15578307,121685.31,111.99,8063.28,Credit card,0
15578369,145219.3,166.39,17970.12,Credit card,1
15578374,169312.72,75.24,6320.16,Credit card,0
15578375,0.0,136.03,9794.16,Electronic check,1
15578435,110340.68,160.12,15371.52,Credit card,1
15578462,134208.25,43.34,4680.72,Credit card,0
15578515,0.0,156.13,5620.68,Debit card,1
15578546,102251.14,148.92,7148.16,Credit card,1
15578603,77354.37,138.76,1665.12,Bank transfer,1
15578648,59532.18,107.81,7762.32,Credit card,1
15578671,209490.21,154.48,1853.76,Credit card,1
15578722,0.0,187.43,8996.64,Debit card,1
15578738,71872.19,149.38,12547.92,Credit card,1
15578747,83600.24,73.87,4432.2,Bank transfer,0
15578761,129634.25,191.51,13788.72,Credit card,1
15578783,76989.97,37.92,37.92,Credit card,0
15578787,0.0,87.8,4214.4,Debit card,0
15578788,0.0,58.37,4202.64,Electronic check,0
15578799,53772.73,180.13,21615.6,Credit card,1
15578809,134760.21,189.58,2274.96,Bank transfer,1
15578825,139994.66,47.79,47.79,Credit card,0
15578835,133204.91,38.87,466.44,Bank transfer,0
15578865,107959.39,34.02,2041.2,Credit card,0
15578866,0.0,57.93,1390.32,Debit card,0
15578878,139528.23,60.62,2182.32,Credit card,0
15578908,0.0,139.44,139.44,Debit card,1
15578977,0.0,144.43,15598.44,Debit card,1
15578980,0.0,72.9,2624.4,Debit card,0
15579040,0.0,114.99,13798.8,Electronic check,1
15579062,0.0,49.67,5364.36,Electronic check,0
15579074,84651.79,178.66,21439.2,Credit card,1
15579109,163856.76,49.18,2950.8,Credit card,0
15579112,0.0,179.1,4298.4,Debit card,1
15579130,118994.84,181.1,181.1,Credit card,1
15579131,0.0,93.54,7857.36,Debit card,0
15579166,70729.17,156.73,13165.32,Credit card,1
15579183,0.0,68.76,825.12,Debit card,0
15579189,0.0,124.43,7465.8,Electronic check,1
15579207,91184.01,113.57,4088.52,Credit card,1
15579208,0.0,183.89,13240.08,Debit card,1
15579212,0.0,40.06,2884.32,Debit card,0
15579223,127406.5,191.9,18422.4,Credit card,1
15579262,0.0,30.4,3283.2,Electronic check,0
15579287,0.0,95.99,4607.52,Electronic check,0
15579334,126674.81,134.43,8065.8,Credit card,1
15579345,161371.5,148.6,148.6,Credit card,1
15579387,79064.85,130.27,3126.48,Bank transfer,1
15579433,96674.55,198.6,19065.6,Bank transfer,1
15579526,50194.59,39.03,468.36,Credit card,0
15579548,0.0,111.63,6697.8,Debit card,1
15579559,145241.63,101.02,9697.92,Credit card,0
15579566,120867.18,45.77,1647.72,Credit card,0
15579583,101090.27,70.25,3372.0,Credit card,0
15579616,0.0,189.11,18154.56,Electronic check,1
15579617,0.0,169.08,6086.88,Electronic check,1
15579647,0.0,146.02,146.02,Debit card,1
15579706,0.0,76.73,4603.8,Debit card,0
15579714,0.0,187.88,15781.92,Electronic check,1
15579777,0.0,131.41,4730.76,Debit card,1
15579781,138653.51,191.8,23016.0,Credit card,1
15579787,0.0,153.19,7353.12,Debit card,1
15579808,129401.87,104.48,10030.08,Credit card,0
15579820,106687.76,172.82,12443.04,Credit card,1
15579826,0.0,66.61,7193.88,Debit card,0
15579891,100755.66,182.76,8772.48,Credit card,1
15579892,112615.86,32.64,2741.76,Credit card,0
15579914,109786.82,156.9,3765.6,Credit card,1
15579915,0.0,140.63,6750.24,Debit card,1
15579969,0.0,44.83,4841.64,Debit card,0
15579994,73112.95,75.24,7223.04,Credit card,0
15579996,131402.21,193.1,16220.4,Bank transfer,1
15580043,105229.34,56.45,5419.2,Credit card,0
15580068,0.0,112.02,6721.2,Debit card,1
15580134,172463.45,71.47,1715.28,Credit card,0
15580146,82674.15,59.38,6413.04,Credit card,0
15580148,168286.81,78.29,4697.4,Credit card,0
15580149,0.0,60.57,5087.88,Debit card,0
