customer_id,tenure_years,contract_type,is_active_member
15576745,2,Month-to-month,1
15576760,5,One year,0
15576774,7,Two year,0
15576824,3,One year,1
15576928,2,Month-to-month,0
15576935,2,Month-to-month,1
15576945,0,Month-to-month,0
15576990,5,One year,0
15577018,2,Month-to-month,0
15577064,2,Month-to-month,0
15577078,6,One year,1
15577107,6,One year,1
15577170,5,One year,1
15577178,5,One year,0
15577274,3,One year,0
15577313,3,One year,0
15577359,5,One year,0
15577398,6,One year,1
15577402,9,Two year,1
15577423,5,One year,0
15577478,3,One year,1
15577514,7,Two year,1
15577515,0,Month-to-month,1
15577587,5,One year,1
15577598,4,One year,0
15577657,8,Two year,1
15577683,4,One year,1
15577695,2,Month-to-month,0
15577700,10,Two year,1
15577751,4,One year,0
15577771,1,Month-to-month,1
15577806,1,Month-to-month,1
15577831,4,One year,0
15577905,8,Two year,1
15577913,8,Two year,1
15577970,5,One year,0
15577985,5,One year,1
15577988,1,Month-to-month,1
15577999,1,Month-to-month,0
15578006,10,Two year,1
15578045,9,Two year,0
15578073,8,Two year,0
15578096,7,Two year,0
15578098,8,Two year,1
15578141,3,One year,1
15578156,5,One year,1
15578186,9,Two year,0
15578211,6,One year,1
15578238,7,Two year,0
15578251,2,Month-to-month,0
15578297,1,Month-to-month,0
15578307,6,One year,1
15578369,9,Two year,0
15578374,7,Two year,0
15578375,6,One year,0
15578435,8,Two year,1
15578462,9,Two year,1
15578515,3,One year,0
15578546,4,One year,1
15578603,1,Month-to-month,0
15578648,6,One year,0
15578671,1,Month-to-month,1
15578722,4,One year,0
15578738,7,Two year,1
15578747,5,One year,1
15578761,6,One year,1
15578783,0,Month-to-month,1
15578787,4,One year,0
15578788,6,One year,0
15578799,10,Two year,1
15578809,1,Month-to-month,0
15578825,0,Month-to-month,0
15578835,1,Month-to-month,1
15578865,5,One year,1
15578866,2,Month-to-month,1
15578878,3,One year,1
15578908,0,Month-to-month,1
15578977,9,Two year,0
15578980,3,One year,1
15579040,10,Two year,0
15579062,9,Two year,0
15579074,10,Two year,1
15579109,5,One year,1
15579112,2,Month-to-month,1
15579130,0,Month-to-month,0
15579131,7,Two year,1
15579166,7,Two year,1
15579183,1,Month-to-month,1
15579189,5,One year,1
15579207,3,One year,0
15579208,6,One year,1
15579212,6,One year,0
15579223,8,Two year,0
15579262,9,Two year,0
15579287,4,One year,1
15579334,5,One year,0
15579345,0,Month-to-month,1
15579387,2,Month-to-month,1
15579433,8,Two year,0
15579526,1,Month-to-month,1
15579548,5,One year,0
15579559,8,Two year,1
15579566,3,One year,0
15579583,4,One year,1
15579616,8,Two year,1
15579617,3,One year,1
15579647,0,Month-to-month,1
15579706,5,One year,0
15579714,7,Two year,1
15579777,3,One year,0
15579781,10,Two year,0
15579787,4,One year,0
15579808,8,Two year,1
15579820,6,One year,0
15579826,9,Two year,0
15579891,4,One year,1
15579892,7,Two year,1
15579914,2,Month-to-month,1
15579915,4,One year,0
15579969,9,Two year,1
15579994,8,Two year,1
15579996,7,Two year,0
15580043,8,Two year,1
15580068,5,One year,1
15580134,2,Month-to-month,1
15580146,9,Two year,0
15580148,5,One year,0
15580149,7,Two year,0
15580203,6,One year,0
15580213,2,Month-to-month,0
15580227,6,One year,0
15580249,0,Month-to-month,0
15580252,4,One year,1
15580366,4,One year,1
15580462,1,Month-to-month,1
15580487,8,Two year,1
15580493,1,Month-to-month,0
15580560,1,Month-to-month,1
15580579,1,Month-to-month,1
15580623,8,Two year,0
15580629,6,One year,0
15580682,4,One year,1
15580684,5,One year,0
15580701,3,One year,0
15580719,10,Two year,1
15580805,10,Two year,0
15580845,7,Two year,1
15580872,1,Month-to-month,0
15580912,5,One year,1
15580914,0,Month-to-month,1
15580935,9,Two year,0
15580953,4,One year,1
15580956,4,One year,1
15580988,8,Two year,1
15581036,3,One year,0
15581089,7,Two year,1
15581102,8,Two year,1
15581115,9,Two year,0
15581197,3,One year,1
15581198,0,Month-to-month,0
15581229,1,Month-to-month,1
15581237,1,Month-to-month,1
15581252,7,Two year,0
15581280,6,One year,1
15581282,6,One year,0
15581286,9,Two year,1
15581295,1,Month-to-month,0
15581323,7,Two year,0
15581332,1,Month-to-month,1
15581370,2,Month-to-month,0
15581388,8,Two year,0
15581440,6,One year,1
15581479,1,Month-to-month,1
15581505,5,One year,0
15581525,3,One year,0
15581526,1,Month-to-month,0
15581539,3,One year,0
15581548,5,One year,0
15581551,8,Two year,1
15581620,2,Month-to-month,1
15581626,8,Two year,1
15581654,7,Two year,1
15581700,3,One year,1
15581733,4,One year,0
15581736,1,Month-to-month,1
15581748,2,Month-to-month,1
15581811,1,Month-to-month,1
15581840,8,Two year,0
15581871,7,Two year,1
15581893,1,Month-to-month,1
15581968,1,Month-to-month,1
15582016,6,One year,0
15582033,3,One year,0
15582066,4,One year,1
15582090,4,One year,0
15582116,7,Two year,0
15582129,1,Month-to-month,0
15582149,3,One year,1
15582154,5,One year,1
15582168,4,One year,0
15582180,9,Two year,1
15582246,2,Month-to-month,1
15582259,7,Two year,1
15582276,5,One year,1
15582325,2,Month-to-month,0
15582335,9,Two year,0
15582404,5,One year,0
15582492,2,Month-to-month,0
15582519,6,One year,1
15582591,4,One year,1
15582616,4,One year,0
15582714,9,Two year,1
15582741,5,One year,0
15582762,2,Month-to-month,1
15582797,4,One year,0
15582841,8,Two year,1
15582847,0,Month-to-month,1
15582849,1,Month-to-month,1
15582892,2,Month-to-month,1
15582903,7,Two year,1
15582910,4,One year,0
15582944,5,One year,0
15582951,8,Two year,0
15582960,5,One year,1
15583026,0,Month-to-month,0
15583033,4,One year,1
15583049,7,Two year,1
15583067,4,One year,1
15583073,2,Month-to-month,1
15583076,6,One year,0
15583090,8,Two year,0
15583137,7,Two year,1
15583138,2,Month-to-month,0
15583212,5,One year,0
15583221,3,One year,1
15583278,8,Two year,1
15583303,2,Month-to-month,0
15583353,3,One year,0
15583364,6,One year,0
15583371,1,Month-to-month,0
15583392,9,Two year,0
15583394,8,Two year,1
15583456,10,Two year,1
15583462,5,One year,1
15583480,4,One year,1
15583499,9,Two year,1
15583548,6,One year,0
15583552,3,One year,0
15583576,2,Month-to-month,1
15583580,1,Month-to-month,0
15583595,8,Two year,1
15583597,1,Month-to-month,1
15583668,2,Month-to-month,1
15583680,4,One year,1
15583681,7,Two year,1
15583692,2,Month-to-month,0
15583718,6,One year,1
15583724,4,One year,1
15583725,1,Month-to-month,1
15583736,4,One year,0
15583748,8,Two year,0
15583755,2,Month-to-month,1
15583764,1,Month-to-month,0
15583840,5,One year,1
15583849,3,One year,0
15583850,0,Month-to-month,1
15583857,4,One year,0
15583863,8,Two year,0
15584037,5,One year,0
15584090,7,Two year,1
15584091,2,Month-to-month,0
15584113,4,One year,1
15584114,2,Month-to-month,1
15584156,10,Two year,0
15584190,7,Two year,1
15584229,9,Two year,1
15584271,5,One year,1
15584288,6,One year,1
15584320,3,One year,0
15584338,0,Month-to-month,0
15584363,0,Month-to-month,1
15584364,4,One year,0
15584452,6,One year,0
15584453,10,Two year,1
15584462,9,Two year,0
15584477,1,Month-to-month,1
15584505,5,One year,0
15584518,5,One year,1
15584532,7,Two year,1
15584536,3,One year,1
15584545,5,One year,1
15584580,6,One year,0
15584620,6,One year,0
15584704,10,Two year,0
15584749,4,One year,0
15584766,3,One year,1
15584776,9,Two year,0
15584785,2,Month-to-month,0
15584812,0,Month-to-month,0
15584897,3,One year,0
15584899,5,One year,1
15584928,4,One year,1
15584930,5,One year,0
15584967,6,One year,1
15585036,3,One year,1
15585041,7,Two year,1
15585047,7,Two year,0
15585066,1,Month-to-month,1
15585067,9,Two year,1
15585100,9,Two year,0
15585106,8,Two year,0
15585133,8,Two year,0
15585192,10,Two year,0
15585198,4,One year,1
15585215,4,One year,0
15585222,8,Two year,1
15585241,2,Month-to-month,0
15585249,6,One year,0
15585255,9,Two year,0
15585256,2,Month-to-month,1
15585280,2,Month-to-month,1
15585282,1,Month-to-month,1
15585284,7,Two year,1
15585287,9,Two year,0
15585362,6,One year,0
15585367,4,One year,0
15585379,2,Month-to-month,0
15585388,9,Two year,1
15585427,10,Two year,0
15585451,1,Month-to-month,1
15585455,9,Two year,0
15585466,10,Two year,0
15585490,4,One year,1
15585533,6,One year,1
15585580,9,Two year,1
15585595,1,Month-to-month,1
15585599,8,Two year,1
15585734,9,Two year,1
15585748,9,Two year,1
15585768,6,One year,1
15585777,3,One year,1
15585823,8,Two year,0
15585835,4,One year,0
15585839,2,Month-to-month,0
15585853,7,Two year,0
15585855,1,Month-to-month,1
15585865,2,Month-to-month,0
15585867,2,Month-to-month,1
15585888,3,One year,1
15585892,8,Two year,0
15585901,1,Month-to-month,0
15585907,5,One year,0
15585928,2,Month-to-month,1
15585961,3,One year,1
15585985,5,One year,0
15586029,2,Month-to-month,0
15586039,5,One year,1
15586069,0,Month-to-month,0
15586133,2,Month-to-month,0
15586135,4,One year,1
15586174,4,One year,1
15586183,5,One year,0
15586236,5,One year,1
15586243,8,Two year,1
15586264,2,Month-to-month,0
15586300,7,Two year,1
15586310,4,One year,0
15586425,4,One year,1
15586479,4,One year,0
15586504,9,Two year,0
15586517,5,One year,1
15586522,2,Month-to-month,0
15586523,7,Two year,1
15586557,5,One year,1
15586585,2,Month-to-month,0
15586629,5,One year,0
15586674,5,One year,1
15586680,4,One year,0
15586699,9,Two year,0
15586752,8,Two year,1
15586757,4,One year,1
15586821,5,One year,1
15586848,1,Month-to-month,0
15586870,4,One year,1
15586880,2,Month-to-month,1
15586914,6,One year,0
15586931,3,One year,1
15586959,5,One year,0
15586970,8,Two year,1
15586974,10,Two year,1
15586976,6,One year,0
15586993,5,One year,1
15586996,7,Two year,1
15587013,7,Two year,1
15587038,2,Month-to-month,1
15587066,2,Month-to-month,0
15587133,7,Two year,0
15587174,7,Two year,1
15587177,6,One year,0
15587210,10,Two year,0
15587233,8,Two year,1
15587240,4,One year,1
15587266,6,One year,1
15587297,7,Two year,1
15587299,3,One year,0
15587311,6,One year,1
15587394,4,One year,0
15587419,8,Two year,1
15587421,7,Two year,0
15587443,1,Month-to-month,1
15587451,7,Two year,0
15587507,6,One year,0
15587535,5,One year,0
15587562,4,One year,0
15587573,4,One year,1
15587581,5,One year,1
15587584,4,One year,1
15587596,8,Two year,0
15587611,9,Two year,0
15587640,0,Month-to-month,0
15587647,0,Month-to-month,1
15587676,9,Two year,1
15587690,2,Month-to-month,0
15587712,8,Two year,0
15587735,6,One year,1
15587835,3,One year,1
15587913,4,One year,0
15587978,6,One year,1
15588019,7,Two year,0
15588080,6,One year,0
15588090,8,Two year,0
15588123,2,Month-to-month,1
15588186,7,Two year,0
15588197,7,Two year,0
15588219,1,Month-to-month,0
15588235,8,Two year,1
15588248,0,Month-to-month,1
15588341,10,Two year,1
15588350,10,Two year,1
15588372,9,Two year,0
15588406,7,Two year,0
15588419,10,Two year,0
15588446,3,One year,0
15588449,5,One year,1
15588450,8,Two year,1
15588456,5,One year,1
15588461,4,One year,0
15588517,7,Two year,1
15588535,6,One year,0
15588537,9,Two year,0
15588560,8,Two year,1
15588566,5,One year,1
15588580,4,One year,1
15588587,1,Month-to-month,1
15588614,7,Two year,0
15588622,7,Two year,1
15588670,5,One year,0
15588695,6,One year,1
15588701,4,One year,0
15588839,8,Two year,1
15588854,3,One year,1
15588859,0,Month-to-month,0
15588904,9,Two year,0
15588918,6,One year,0
15588923,4,One year,0
15588928,5,One year,1
15588933,3,One year,1
15588944,1,Month-to-month,0
15588955,5,One year,0
15588986,4,One year,1
15589017,4,One year,0
15589018,3,One year,1
15589019,4,One year,1
15589030,1,Month-to-month,1
15589076,9,Two year,1
15589147,8,Two year,1
15589195,7,Two year,1
15589200,9,Two year,0
15589204,9,Two year,0
15589210,4,One year,0
15589221,1,Month-to-month,1
15589224,5,One year,1
15589230,2,Month-to-month,1
15589257,3,One year,1
15589296,6,One year,1
15589312,3,One year,0
15589320,8,Two year,1
15589323,9,Two year,1
15589329,4,One year,0
15589348,4,One year,1
15589358,4,One year,0
15589361,9,Two year,1
15589380,3,One year,1
15589401,4,One year,0
15589420,2,Month-to-month,1
15589428,9,Two year,0
15589431,1,Month-to-month,1
15589435,7,Two year,1
15589437,3,One year,1
15589449,3,One year,1
15589475,3,One year,0
15589488,5,One year,1
15589493,1,Month-to-month,0
15589496,5,One year,0
15589541,2,Month-to-month,1
15589544,4,One year,1
15589563,2,Month-to-month,0
15589572,4,One year,0
15589589,5,One year,0
15589643,7,Two year,1
15589660,1,Month-to-month,1
15589666,9,Two year,1
15589698,6,One year,1
15589715,5,One year,0
15589725,4,One year,1
15589739,3,One year,1
15589754,2,Month-to-month,1
15589793,8,Two year,0
15589805,6,One year,1
15589869,9,Two year,1
15589881,7,Two year,1
15589924,1,Month-to-month,1
15589948,1,Month-to-month,1
15589949,9,Two year,0
15589969,6,One year,1
15589975,6,One year,1
15590011,9,Two year,1
15590078,9,Two year,1
15590094,9,Two year,0
15590097,7,Two year,0
15590146,1,Month-to-month,1
15590177,1,Month-to-month,1
15590199,1,Month-to-month,1
15590201,5,One year,1
15590213,4,One year,1
15590228,6,One year,1
15590234,1,Month-to-month,0
15590241,9,Two year,0
15590268,5,One year,1
15590286,2,Month-to-month,0
15590320,4,One year,1
15590327,10,Two year,0
15590337,6,One year,1
15590344,3,One year,1
15590349,9,Two year,0
15590434,4,One year,1
15590476,7,Two year,0
15590606,9,Two year,0
15590623,4,One year,1
15590637,7,Two year,1
15590676,1,Month-to-month,0
15590683,6,One year,1
15590730,9,Two year,0
15590810,9,Two year,0
15590820,6,One year,0
15590828,7,Two year,0
15590876,7,Two year,0
15590888,10,Two year,0
15590966,4,One year,0
15590993,5,One year,0
15591010,8,Two year,0
15591035,6,One year,1
15591036,3,One year,0
15591047,6,One year,0
15591091,5,One year,0
15591100,9,Two year,1
15591107,3,One year,0
15591123,2,Month-to-month,1
15591130,6,One year,1
15591135,2,Month-to-month,0
15591150,10,Two year,1
15591169,4,One year,0
15591179,2,Month-to-month,1
15591248,9,Two year,1
15591257,8,Two year,0
15591279,3,One year,1
15591286,4,One year,1
15591344,6,One year,1
15591357,3,One year,1
15591360,4,One year,1
15591386,5,One year,0
15591428,9,Two year,0
15591433,8,Two year,0
15591489,5,One year,0
15591509,7,Two year,0
15591512,2,Month-to-month,1
15591550,3,One year,0
15591552,7,Two year,0
15591577,3,One year,1
15591607,9,Two year,0
15591628,9,Two year,0
15591698,9,Two year,0
15591711,0,Month-to-month,0
15591724,5,One year,0
15591740,4,One year,1
15591747,3,One year,0
15591766,4,One year,1
15591822,9,Two year,0
15591915,2,Month-to-month,1
15591932,5,One year,0
15591942,7,Two year,1
15591969,9,Two year,1
15591980,5,One year,1
15591985,8,Two year,1
15591986,6,One year,0
15591995,8,Two year,1
15592000,9,Two year,0
15592025,7,Two year,1
15592028,7,Two year,1
15592078,8,Two year,0
15592089,10,Two year,1
15592091,2,Month-to-month,1
15592104,5,One year,0
15592116,7,Two year,0
15592123,6,One year,1
15592194,9,Two year,0
15592197,3,One year,0
15592222,7,Two year,0
15592229,0,Month-to-month,1
15592230,3,One year,1
15592300,10,Two year,0
15592326,8,Two year,1
15592379,9,Two year,0
15592386,3,One year,1
15592387,5,One year,0
15592389,2,Month-to-month,1
15592412,4,One year,0
15592451,9,Two year,0
15592461,4,One year,1
15592531,7,Two year,1
15592570,8,Two year,0
15592578,7,Two year,0
15592583,1,Month-to-month,0
15592645,4,One year,0
15592707,2,Month-to-month,1
15592716,2,Month-to-month,0
15592736,5,One year,0
15592751,3,One year,0
15592761,5,One year,0
15592765,8,Two year,1
15592773,0,Month-to-month,0
15592816,1,Month-to-month,0
15592846,10,Two year,0
15592854,3,One year,1
15592877,9,Two year,0
15592914,9,Two year,1
15592925,3,One year,1
15592937,3,One year,1
15592979,6,One year,0
15592994,0,Month-to-month,1
15592999,0,Month-to-month,1
15593014,1,Month-to-month,1
15593094,9,Two year,0
15593128,10,Two year,0
15593178,10,Two year,1
15593241,3,One year,1
15593250,4,One year,0
15593280,8,Two year,1
15593283,1,Month-to-month,1
15593295,6,One year,1
15593331,6,One year,1
15593345,6,One year,1
15593365,2,Month-to-month,1
15593425,1,Month-to-month,0
15593454,4,One year,0
15593468,3,One year,1
15593470,8,Two year,1
15593496,5,One year,0
15593499,6,One year,0
15593501,5,One year,0
15593510,5,One year,1
15593555,9,Two year,1
15593601,6,One year,1
15593622,10,Two year,1
15593636,4,One year,0
15593683,8,Two year,0
15593694,8,Two year,0
15593715,3,One year,0
15593736,7,Two year,0
15593773,3,One year,0
15593778,3,One year,0
15593782,5,One year,0
15593795,1,Month-to-month,0
15593834,7,Two year,0
15593897,7,Two year,1
15593900,1,Month-to-month,1
15593943,1,Month-to-month,1
15593954,6,One year,0
15593959,1,Month-to-month,1
15593969,7,Two year,0
15593973,8,Two year,0
15593976,5,One year,0
15594039,6,One year,0
15594041,2,Month-to-month,0
15594084,9,Two year,0
15594133,7,Two year,0
15594270,7,Two year,1
15594305,1,Month-to-month,0
15594340,4,One year,0
15594349,5,One year,1
15594391,2,Month-to-month,0
15594404,8,Two year,0
15594408,2,Month-to-month,0
15594409,1,Month-to-month,1
15594436,2,Month-to-month,1
15594450,9,Two year,0
15594456,4,One year,1
15594502,6,One year,0
